Name_data_0,Data_0,Name_data_1,Data_1,Name_data_2,Data_2,Data_3,Data_4,Data_5,Date
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,2.24,Energiamaksu,0.39,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Aalto energia Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,3.04,Energiamaksu,0.40,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Herrfors Oy Ab,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,2.90,Energiamaksu,0.43,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Hehku Energia Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,3.60,Energiamaksu,0.41,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Porvoon Energia Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,3.95,Energiamaksu,0.40,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Äänekosken Energia Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,0.41,Kuukausimaksu,3.90,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Cheap Energy Finland Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,2.53,Energiamaksu,0.60,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Kokkolan Energia Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,3.95,Energiamaksu,0.50,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Imatran Seudun Sähkö Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,3.95,Energiamaksu,0.50,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Korpelan Energia Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,0.50,Kuukausimaksu,4.00,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Paneliankosken Voima Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,0.50,Kuukausimaksu,4.02,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Kuoreveden Sähkö Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,4.52,Energiamaksu,0.44,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Koillis-Satakunnan Sähkö Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,4.56,Energiamaksu,0.46,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Pohjois-Karjalan Sähkö Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,0.42,Kuukausimaksu,4.95,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Turku Energia Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,4.95,Energiamaksu,0.46,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Väre Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,4.90,Energiamaksu,0.48,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Vaasan Sähkö Myynti Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,0.59,Kuukausimaksu,4.05,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Nurmijärven Sähkö Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,4.89,Energiamaksu,0.49,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Köyliön-Säkylän Sähkö Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,4.48,Energiamaksu,0.54,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Vihreä Älyenergia Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,4.90,Energiamaksu,0.49,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Hehku Energia Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,4.04,Energiamaksu,0.60,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Keravan Energia Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,0.49,Kuukausimaksu,4.96,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Helen Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,4.91,Energiamaksu,0.50,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Lumme Energia,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,5.00,Energiamaksu,0.50,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Omavoima Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,0.54,Kuukausimaksu,4.78,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Vihreä Älyenergia Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,0.56,Kuukausimaksu,4.95,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Sallila Energia Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,5.49,Energiamaksu,0.52,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Nordic Green Energy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,4.96,Energiamaksu,0.60,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Oomi Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,0.50,Kuukausimaksu,5.95,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Vattenfall Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,0.50,Kuukausimaksu,5.95,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Vattenfall Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,0.50,Kuukausimaksu,5.95,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Vattenfall Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,0.50,Kuukausimaksu,5.95,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Vattenfall Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,0.50,Kuukausimaksu,5.95,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Vattenfall Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,2.53,Energiamaksu,0.92,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Kokkolan Energia Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,0.39,Kuukausimaksu,6.99,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Nurmijärven Sähkö Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,5.99,Energiamaksu,0.59,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Fortum Markets Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,0.59,Kuukausimaksu,5.99,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Keravan Energia Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,5.01,Energiamaksu,0.73,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Väre Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,3.04,Energiamaksu,1.01,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Herrfors Oy Ab,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,0.71,Kuukausimaksu,5.57,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Kuoreveden Sähkö Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,0.90,Kuukausimaksu,4.04,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Keravan Energia Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,4.95,Energiamaksu,0.85,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Vihreä Älyenergia Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,5.97,Energiamaksu,0.80,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Oomi Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,4.90,Energiamaksu,0.94,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Vaasan Sähkö Myynti Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,1.32,Kuukausimaksu,5.57,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Kuoreveden Sähkö Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,1.60,Kuukausimaksu,4.05,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Nurmijärven Sähkö Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,9.99,Energiamaksu,0.99,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Nordic Green Energy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,49.00,Energiamaksu,0.00,Kiinteähintainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Vaasan Sähkö Myynti Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,6.53,Kuukausimaksu,2.53,Kiinteähintainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Kokkolan Energia Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,6.69,Kuukausimaksu,3.99,Kiinteähintainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Cheap Energy Finland Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,5.95,Energiamaksu,6.54,Kiinteähintainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Aalto energia Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,4.52,Energiamaksu,6.75,Kiinteähintainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Koillis-Satakunnan Sähkö Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,6.98,Kuukausimaksu,4.56,Kiinteähintainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Pohjois-Karjalan Sähkö Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,7.40,Kuukausimaksu,2.53,Kiinteähintainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Kokkolan Energia Oy,2025-09-19
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,4.90,Energiamaksu,7.29,Kiinteähintainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Vaasan Sähkö Myynti Oy,2025-09-19
