Name_data_0,Data_0,Name_data_1,Data_1,Name_data_2,Data_2,Data_3,Data_4,Data_5,Date
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,1.99,Energiamaksu,0.43,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Sähkötytöt Oy,2026-02-09
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,2.48,Energiamaksu,0.43,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Vihreä Älyenergia Oy,2026-02-09
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,2.65,Energiamaksu,0.41,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Aalto energia Oyj,2026-02-09
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,3.04,Energiamaksu,0.40,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Herrfors Oy Ab,2026-02-09
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,3.60,Energiamaksu,0.41,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Porvoon Energia Oy,2026-02-09
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,3.95,Energiamaksu,0.40,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Äänekosken Energia Oy,2026-02-09
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,3.95,Energiamaksu,0.40,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Äänekosken Energia Oy,2026-02-09
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,2.53,Energiamaksu,0.60,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Kokkolan Energia Oy,2026-02-09
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,3.90,Energiamaksu,0.47,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Hehku Energia Oy,2026-02-09
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,3.95,Energiamaksu,0.50,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Imatran Seudun Sähkö Oy,2026-02-09
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,0.44,Kuukausimaksu,4.45,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Cheap Energy Finland Oy,2026-02-09
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,3.95,Energiamaksu,0.50,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Korpelan Energia Oy,2026-02-09
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,0.50,Kuukausimaksu,4.00,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Paneliankosken Voima Oy,2026-02-09
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,4.52,Energiamaksu,0.44,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Koillis-Satakunnan Sähkö Oy,2026-02-09
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,4.56,Energiamaksu,0.46,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Pohjois-Karjalan Sähkö Oy,2026-02-09
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,0.42,Kuukausimaksu,4.95,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Turku Energia Oy,2026-02-09
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,3.04,Energiamaksu,0.66,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Herrfors Oy Ab,2026-02-09
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,4.95,Energiamaksu,0.46,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Väre Oy,2026-02-09
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,4.90,Energiamaksu,0.48,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Imatran Seudun Sähkö Oy,2026-02-09
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,4.90,Energiamaksu,0.48,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Vaasan Sähkö Myynti Oy,2026-02-09
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,0.59,Kuukausimaksu,4.05,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Nurmijärven Sähkö Oy,2026-02-09
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,4.89,Energiamaksu,0.49,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Köyliön-Säkylän Sähkö Oy,2026-02-09
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,4.48,Energiamaksu,0.54,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Vihreä Älyenergia Oy,2026-02-09
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,4.04,Energiamaksu,0.60,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Keravan Energia Oy,2026-02-09
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,0.49,Kuukausimaksu,4.96,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Helen Oy,2026-02-09
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,4.91,Energiamaksu,0.50,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Lumme Energia,2026-02-09
