Date,Hour,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-03-06,00-01,"2,52","2,52","2,52","96,04","83,96","80,58","84,84","84,14","73,32","29,53","29,53","2,52","28,00","28,63","7,99","2,68","28,39","2,51","2,56","1,98","1,83"
2025-03-06,01-02,"5,10","5,10","5,10","97,10","83,87","74,44","87,00","84,83","74,06","35,47","35,47","5,10","23,13","29,43","13,32","2,02","23,80","2,40","2,69","1,50","1,15"
2025-03-06,02-03,"16,89","16,89","16,89","99,00","82,89","67,75","88,12","84,59","79,44","39,25","39,26","16,89","21,59","30,68","12,70","1,81","23,14","2,23","2,50","1,38","1,04"
2025-03-06,03-04,"26,20","26,20","26,20","105,89","87,89","68,90","94,56","90,10","86,17","47,40","47,40","26,20","17,11","35,39","11,40","1,67","21,53","2,30","2,60","1,65","1,36"
2025-03-06,04-05,"46,14","46,14","46,14","118,36","92,55","81,53","95,91","93,53","89,53","65,97","65,97","46,14","15,00","37,42","11,84","1,50","20,86","3,33","3,92","3,18","2,98"
2025-03-06,05-06,"49,40","49,40","49,40","150,13","128,94","100,08","139,28","132,87","134,04","93,15","93,16","49,39","34,86","37,90","14,42","1,00","35,12","6,66","3,73","43,33","48,63"
2025-03-06,06-07,"61,37","61,37","61,37","153,99","144,45","127,32","151,32","147,24","152,16","129,79","139,44","36,65","39,85","40,68","20,73","1,54","38,02","6,51","2,38","52,84","60,35"
2025-03-06,07-08,"60,28","60,28","60,28","108,50","108,50","108,50","108,50","108,50","108,50","108,50","108,51","30,75","39,79","40,58","21,66","1,41","38,05","7,20","3,42","52,06","59,32"
2025-03-06,08-09,"40,06","40,06","40,06","79,65","78,77","78,85","78,70","78,72","75,73","78,70","78,70","21,26","37,38","38,10","21,10","1,25","35,79","5,95","4,04","34,77","39,34"
2025-03-06,09-10,"5,78","5,78","5,78","57,39","50,97","51,53","50,47","50,62","28,86","50,47","50,47","5,29","35,99","36,64","21,49","1,42","34,59","4,00","4,67","5,48","5,45"
2025-03-06,10-11,"2,97","2,97","2,97","5,22","0,00","10,95","4,02","1,58","2,85","4,02","4,02","3,46","31,44","32,01","18,74","1,60","30,23","3,44","4,09","3,01","2,70"
2025-03-06,11-12,"1,68","0,59","1,68","1,38","-7,16","12,19","0,08","-4,47","0,59","0,08","0,08","1,68","24,19","24,68","13,04","1,38","23,17","1,67","1,92","0,56","0,22"
2025-03-06,12-13,"0,27","0,27","0,27","0,65","-3,43","5,82","0,02","-2,04","0,27","0,02","0,02","1,12","27,39","28,04","7,19","1,67","27,62","1,12","1,07","0,29","0,10"
2025-03-06,13-14,"3,53","3,53","3,53","13,16","13,16","13,16","13,16","13,16","13,16","13,16","13,16","2,68","32,74","33,49","5,49","1,53","34,27","2,68","3,00","3,40","3,53"
2025-03-06,14-15,"9,68","9,68","9,68","73,46","63,61","44,90","71,00","63,61","88,75","63,61","63,61","1,99","36,91","37,80","9,15","1,56","35,06","2,00","2,80","8,39","9,68"
2025-03-06,15-16,"48,38","48,38","48,38","122,52","97,12","56,08","116,52","100,56","118,41","99,19","99,20","1,24","37,28","39,89","11,34","3,32","35,62","0,77","3,37","40,56","48,55"
2025-03-06,16-17,"47,85","47,85","47,85","161,08","128,67","76,99","148,95","136,82","146,59","129,69","129,70","2,82","39,67","40,47","21,24","3,34","37,81","2,80","2,99","27,74","47,38"
2025-03-06,17-18,"47,73","47,73","47,73","171,10","136,79","101,00","165,36","155,73","157,35","155,73","165,36","3,15","39,72","40,50","22,01","3,34","37,90","3,14","3,41","28,04","47,29"
2025-03-06,18-19,"47,38","47,38","47,38","154,96","150,00","126,02","149,10","132,33","140,42","132,33","149,11","3,28","39,55","40,31","22,22","3,14","37,75","3,27","3,63","27,66","46,95"
2025-03-06,19-20,"85,12","85,12","85,12","133,96","128,70","108,54","125,64","110,70","124,64","112,63","125,64","2,98","39,76","40,36","19,37","3,15","37,87","2,97","3,23","27,23","46,49"
2025-03-06,20-21,"41,72","41,72","41,72","129,69","101,70","88,44","106,63","103,37","96,18","103,37","106,63","3,72","39,65","39,28","11,34","2,87","37,52","3,71","4,04","24,89","41,58"
2025-03-06,21-22,"35,63","35,63","35,63","114,58","100,65","86,73","101,47","96,40","91,99","96,40","101,47","3,89","33,88","37,55","8,00","3,40","35,67","3,89","4,08","21,64","35,55"
2025-03-06,22-23,"29,76","29,76","29,76","108,07","90,63","76,60","91,11","86,00","81,08","86,00","91,11","5,00","29,51","37,15","7,19","3,22","32,38","4,68","5,06","18,94","29,77"
2025-03-06,23-00,,,,,,,,,,,,,,,,,,,,,
