Date,Hour,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-03-13,00-01,"98,61","98,61","98,61","102,03","102,80","103,46","102,25","102,51","98,61","102,25","102,22","98,61","73,82","98,25","68,92","2,99","41,76","83,42","83,48","90,29","99,37"
2025-03-13,01-02,"92,39","92,39","92,39","98,25","100,02","101,25","98,98","99,59","92,39","98,98","98,96","92,39","72,00","95,11","66,86","2,25","41,60","80,02","80,11","85,96","93,58"
2025-03-13,02-03,"91,23","91,23","91,23","95,79","96,69","95,12","96,71","96,65","91,23","96,71","96,69","91,23","70,77","92,94","65,85","2,56","41,62","78,48","78,57","84,19","91,52"
2025-03-13,03-04,"95,73","95,73","95,73","98,35","96,57","90,80","98,35","97,19","95,73","98,35","98,33","95,73","71,31","93,77","66,46","2,00","41,80","79,38","79,46","85,27","92,94"
2025-03-13,04-05,"130,00","130,00","130,00","106,17","104,90","102,51","105,88","105,11","105,93","105,88","105,87","130,00","86,63","101,54","85,70","1,96","67,10","96,02","96,26","99,50","103,20"
2025-03-13,05-06,"164,39","164,39","164,39","132,99","129,39","123,83","132,99","131,27","133,09","132,99","132,70","164,39","119,93","119,66","125,96","2,52","120,57","131,15","131,41","132,23","132,59"
2025-03-13,06-07,"223,71","223,71","223,71","158,40","155,02","152,28","159,87","155,96","161,30","159,87","160,74","223,71","158,36","158,40","157,40","2,71","158,26","156,70","151,88","163,10","161,11"
2025-03-13,07-08,"223,70","223,70","223,70","156,81","156,39","156,41","158,03","155,10","161,05","158,03","160,99","223,70","152,89","153,02","149,63","2,99","152,53","147,24","130,89","169,00","162,24"
2025-03-13,08-09,"250,02","250,02","250,02","139,23","137,12","140,00","148,13","130,68","163,48","148,13","154,80","250,00","122,97","123,52","110,17","2,00","121,57","100,83","36,82","186,17","159,19"
2025-03-13,09-10,"223,70","223,70","223,70","123,45","123,70","118,94","123,77","120,40","127,35","123,77","123,84","223,68","92,29","92,83","79,61","3,20","90,90","70,33","7,08","154,95","128,18"
2025-03-13,10-11,"223,73","223,73","223,73","110,63","114,43","112,21","110,70","103,00","114,07","110,70","110,75","223,72","91,04","91,37","83,11","3,37","90,18","77,31","37,76","130,08","113,47"
2025-03-13,11-12,"230,66","230,66","230,66","108,07","108,46","108,07","110,01","95,62","114,20","110,01","110,08","230,64","81,68","82,15","70,31","3,36","80,43","61,87","4,91","138,17","114,01"
2025-03-13,12-13,"238,01","238,01","238,01","107,36","104,71","106,66","108,22","96,90","109,73","108,22","108,28","237,99","79,60","93,55","63,38","3,00","60,56","60,31","5,00","135,30","112,03"
2025-03-13,13-14,"227,38","227,38","227,38","106,64","105,72","105,70","107,54","104,00","109,97","107,54","107,60","227,36","79,93","80,38","68,86","2,97","78,69","60,71","4,97","134,99","111,43"
2025-03-13,14-15,"214,88","214,88","214,88","110,07","106,74","104,71","109,99","104,00","110,23","109,99","110,02","198,49","75,09","77,63","64,81","3,36","71,21","59,26","4,92","133,62","113,21"
2025-03-13,15-16,"205,70","205,70","205,70","122,47","113,40","104,94","121,47","108,81","121,67","121,47","121,56","205,68","82,58","104,82","63,64","2,98","52,68","64,87","4,88","147,41","125,07"
2025-03-13,16-17,"239,43","239,43","239,43","141,97","134,10","124,27","142,65","138,19","142,69","142,65","142,95","239,41","94,32","132,91","67,73","2,56","42,29","74,59","5,33","171,15","146,79"
2025-03-13,17-18,"249,11","249,11","249,11","166,05","166,05","166,05","166,05","166,05","159,40","166,05","166,09","249,09","108,96","158,83","70,85","2,00","41,77","77,67","5,95","185,16","168,18"
2025-03-13,18-19,"173,47","173,47","173,47","173,47","173,47","173,47","173,47","173,47","154,64","173,47","173,42","195,97","113,13","165,88","60,50","2,56","41,77","60,63","4,03","163,00","170,60"
2025-03-13,19-20,"146,40","146,40","146,40","149,00","149,00","149,00","149,00","149,00","133,94","149,00","148,99","123,86","100,42","142,55","39,37","2,99","41,80","14,16","4,40","147,68","147,63"
2025-03-13,20-21,"135,69","135,69","135,69","135,69","135,69","135,69","135,69","135,69","134,84","135,69","135,69","135,67","93,00","129,88","42,37","5,55","41,61","24,40","2,44","139,07","135,66"
2025-03-13,21-22,"98,76","98,76","98,76","121,89","123,87","124,30","123,48","123,48","119,98","123,48","123,41","98,75","85,91","118,18","38,84","5,00","41,57","28,15","1,93","92,15","107,04"
2025-03-13,22-23,"71,38","71,38","71,38","110,79","112,05","112,18","111,63","111,63","109,73","111,63","111,53","71,37","79,61","106,90","28,50","4,40","41,44","12,01","2,04","57,34","85,49"
2025-03-13,23-00,,,,,,,,,,,,,,,,,,,,,
