Date,Hour,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-02-21,00-01,"110,08","110,08","110,08","100,00","74,68","76,16","75,51","74,03","74,31","38,99","38,99","0,81","49,11","48,58","10,48","2,91","46,10","1,40","1,09","20,44","39,08"
2025-02-21,01-02,"73,46","73,46","73,46","105,01","70,13","70,00","74,99","70,09","73,46","41,15","41,15","0,20","49,58","49,24","10,31","2,89","46,56","0,95","0,54","11,90","23,21"
2025-02-21,02-03,"78,97","78,97","78,97","102,07","73,05","62,07","79,80","74,99","78,97","46,56","46,56","0,01","49,23","48,93","10,38","2,79","46,23","0,78","0,36","10,04","19,84"
2025-02-21,03-04,"45,00","45,00","45,00","104,02","72,56","51,98","83,40","76,25","81,13","44,41","44,41","0,01","48,84","48,57","10,53","2,84","45,86","0,79","0,37","10,04","19,86"
2025-02-21,04-05,"80,20","80,20","80,20","99,86","69,02","40,70","82,40","74,00","82,87","47,80","47,41","0,01","49,59","49,52","12,38","3,50","46,61","1,01","0,52","10,01","19,85"
2025-02-21,05-06,"97,57","97,57","97,57","121,39","68,78","38,71","82,03","72,97","97,57","54,22","54,62","0,93","52,10","51,85","12,10","4,00","48,99","1,80","1,38","28,49","54,77"
2025-02-21,06-07,"127,03","127,03","127,03","164,48","72,43","52,50","106,47","96,87","147,11","67,10","67,10","1,36","56,73","57,04","17,62","5,31","53,45","1,36","0,64","33,11","64,25"
2025-02-21,07-08,"163,53","163,53","163,53","174,57","100,23","69,96","152,50","140,24","174,79","111,73","131,70","2,00","80,88","83,95","19,00","7,24","70,73","2,00","1,06","47,37","92,83"
2025-02-21,08-09,"142,35","142,35","142,35","154,64","103,33","78,92","145,21","135,02","149,99","135,02","145,21","2,84","125,42","130,55","21,92","9,49","107,58","2,83","1,65","72,08","141,53"
2025-02-21,09-10,"109,60","109,60","109,60","129,45","107,55","80,11","120,98","112,20","109,29","112,20","120,99","3,04","96,23","100,01","19,58","7,90","83,30","3,02","2,23","55,84","108,95"
2025-02-21,10-11,"93,66","93,66","93,66","104,07","88,39","67,46","98,68","92,01","93,19","92,01","98,69","3,04","76,37","78,20","38,65","7,71","72,67","3,02","2,57","47,24","92,72"
2025-02-21,11-12,"78,38","78,38","78,38","88,05","72,61","50,69","83,40","76,44","80,71","77,93","83,41","3,23","63,88","65,40","32,48","7,64","60,76","3,21","2,68","39,92","77,59"
2025-02-21,12-13,"74,57","74,57","74,57","80,39","66,85","52,95","78,00","65,00","78,87","69,00","78,01","3,00","61,37","62,76","32,77","5,16","58,53","3,17","3,22","38,24","73,86"
2025-02-21,13-14,"72,37","72,37","72,37","79,76","63,85","43,87","76,41","63,20","84,24","69,00","76,41","3,37","59,69","61,03","31,82","4,99","56,96","3,36","3,48","37,29","71,68"
2025-02-21,14-15,"87,60","87,60","87,60","102,23","63,63","32,74","79,52","69,47","109,44","69,47","79,53","3,05","59,66","61,01","31,33","4,99","56,89","3,05","3,09","37,21","71,80"
2025-02-21,15-16,"86,87","86,87","86,87","105,07","71,80","50,16","82,94","75,49","142,43","75,49","82,95","3,60","62,45","64,21","26,33","4,66","57,87","3,65","2,65","39,09","74,95"
2025-02-21,16-17,"131,87","131,87","131,87","142,14","88,20","53,90","103,47","93,09","131,87","73,19","92,54","3,19","65,18","67,50","17,68","4,99","57,39","3,20","2,49","39,05","75,00"
2025-02-21,17-18,"160,64","160,64","160,64","151,93","95,76","76,34","103,45","98,77","160,64","84,27","89,27","3,09","68,64","71,14","17,40","4,99","60,37","3,08","2,15","41,34","79,41"
2025-02-21,18-19,"130,29","130,29","130,29","151,98","101,10","94,58","101,98","101,13","130,29","73,57","101,98","2,52","65,68","68,08","16,27","4,70","57,31","2,50","2,25","38,77","74,51"
2025-02-21,19-20,"87,70","87,70","87,70","153,77","88,48","93,83","81,95","85,01","120,94","61,45","61,91","2,61","56,63","56,59","16,36","4,34","53,45","2,60","2,40","32,48","62,14"
2025-02-21,20-21,"109,09","109,09","109,09","125,00","84,09","84,97","80,25","82,01","109,09","55,56","55,88","2,62","53,33","52,77","11,20","3,46","50,19","2,61","2,53","29,55","56,00"
2025-02-21,21-22,"75,70","75,70","75,70","105,08","72,18","70,94","70,85","71,33","116,45","52,04","52,16","2,89","51,46","50,55","8,16","3,27","48,38","2,89","2,85","27,90","52,22"
2025-02-21,22-23,"49,55","49,55","49,55","99,05","71,50","69,96","70,64","70,89","116,58","49,43","49,49","2,53","49,64","48,56","6,12","2,84","46,61","2,53","2,48","26,41","49,51"
2025-02-21,23-00,"48,69","48,69","48,69","95,05","67,51","70,17","64,33","66,09","107,16","48,60","48,60","2,12","48,50","47,49","5,93","2,54","45,55","2,12","2,04","25,70","48,63"
