Date,Hour,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-04-23,00-01,"108,74","108,74","108,74","107,93","97,78","72,84","106,72","101,72","108,74","106,72","106,72","108,74","74,07","75,00","5,05","1,35","35,32","77,25","74,62","77,64","81,21"
2025-04-23,01-02,"100,81","100,81","100,81","100,28","89,78","62,40","99,40","94,18","100,81","99,40","99,40","100,82","63,71","65,94","2,91","1,34","38,83","12,62","11,28","43,21","77,03"
2025-04-23,02-03,"98,97","98,97","98,97","96,84","87,54","60,98","96,84","91,72","98,97","96,84","96,84","98,97","61,62","63,90","2,61","1,33","38,29","7,84","6,64","39,94","75,20"
2025-04-23,03-04,"98,86","98,86","98,86","97,10","85,30","53,17","96,70","90,32","98,86","96,70","96,70","98,86","59,82","62,08","2,47","1,34","37,33","6,07","4,86","38,14","73,25"
2025-04-23,04-05,"103,12","103,12","103,12","102,39","88,16","50,92","101,20","93,91","103,12","99,68","100,53","103,13","61,29","63,68","1,56","1,36","37,62","4,94","3,66","38,57","75,31"
2025-04-23,05-06,"158,31","158,31","158,31","108,69","93,83","53,17","108,23","99,80","111,72","108,23","108,23","158,31","65,38","67,99","2,06","1,38","36,98","4,39","3,05","40,96","80,52"
2025-04-23,06-07,"249,99","249,99","249,99","137,09","122,04","73,00","137,09","131,81","137,58","137,09","137,10","250,00","105,40","109,49","1,33","1,39","35,94","3,58","3,13","64,42","134,00"
2025-04-23,07-08,"154,76","154,76","154,76","144,23","150,10","80,24","152,00","150,10","152,14","152,00","152,02","349,99","103,07","118,60","22,09","1,38","52,16","5,82","2,35","76,82","148,82"
2025-04-23,08-09,"122,50","122,50","122,50","121,20","128,84","67,11","128,84","130,74","122,50","128,84","128,84","300,02","97,46","108,98","30,05","2,91","59,99","4,62","2,79","61,42","125,75"
2025-04-23,09-10,"99,98","99,98","99,98","100,12","108,48","68,93","100,00","103,41","99,98","100,00","100,00","203,11","80,86","84,48","34,41","3,32","72,98","4,35","2,91","49,28","99,99"
2025-04-23,10-11,"86,71","86,71","86,71","83,10","93,21","82,08","92,00","92,00","86,71","92,00","92,00","86,71","70,10","73,31","29,75","1,83","63,14","4,27","2,96","43,15","86,72"
2025-04-23,11-12,"80,15","80,15","80,15","82,15","97,75","47,20","94,39","94,39","80,15","94,39","94,39","80,15","64,83","67,78","27,73","1,63","58,43","4,19","2,97","39,87","80,15"
2025-04-23,12-13,"26,00","77,00","77,00","78,01","82,75","55,58","81,04","81,04","77,00","81,04","81,04","26,00","62,34","65,15","26,72","1,50","56,10","4,29","3,09","39,00","77,01"
2025-04-23,13-14,"4,01","78,36","78,36","79,66","87,93","52,96","80,29","83,23","78,37","80,29","80,29","4,01","63,47","66,29","27,22","2,35","57,10","4,00","2,82","39,70","78,36"
2025-04-23,14-15,"3,17","83,59","83,59","83,37","84,60","45,06","88,00","85,07","86,66","88,00","88,01","3,17","64,33","67,20","27,38","2,32","57,96","3,15","2,62","40,67","82,78"
2025-04-23,15-16,"3,91","90,12","90,12","96,11","92,86","40,36","92,35","91,30","94,36","92,35","92,35","3,91","73,03","76,26","8,09","3,97","53,44","3,90","2,60","45,16","90,13"
2025-04-23,16-17,"85,17","97,78","97,78","101,47","92,27","35,75","99,05","94,00","100,79","99,05","99,06","4,04","75,43","78,83","8,03","3,35","51,18","4,02","3,43","47,20","96,84"
2025-04-23,17-18,"110,00","110,00","110,00","110,77","101,34","48,47","108,28","102,88","110,00","108,28","108,29","4,73","82,46","86,16","15,33","2,84","56,87","4,71","4,03","51,66","105,82"
2025-04-23,18-19,"134,44","134,44","134,44","132,42","122,56","68,45","128,90","121,90","134,44","128,90","128,91","8,56","96,21","100,54","8,09","1,93","58,91","8,61","6,90","64,80","125,94"
2025-04-23,19-20,"171,19","171,19","171,19","150,00","142,70","105,29","155,97","147,99","171,19","155,97","155,98","24,18","118,78","128,02","8,01","1,49","56,81","24,18","22,59","82,57","152,29"
2025-04-23,20-21,"215,03","215,03","215,03","152,30","143,17","88,73","148,67","144,53","215,03","148,67","148,67","33,64","130,09","133,69","8,02","1,76","34,34","33,23","33,91","88,15","148,66"
2025-04-23,21-22,"126,89","126,89","126,89","127,42","123,58","116,70","126,11","124,56","126,89","126,11","126,11","33,47","111,62","114,33","12,00","1,73","32,94","31,06","31,70","76,30","126,11"
2025-04-23,22-23,"86,09","108,41","108,41","108,56","107,49","105,58","108,20","107,77","108,41","108,20","108,19","26,27","95,03","97,53","12,61","1,93","33,14","25,94","26,40","65,29","108,14"
2025-04-23,23-00,"23,61","98,69","98,69","99,71","92,63","80,24","97,15","94,40","98,69","97,15","97,15","23,61","81,81","84,27","14,68","1,82","32,61","23,60","23,15","58,17","94,82"
