Date,Hour,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-11-13,00-01,"4,61","4,61","4,61","105,00","34,72","31,65","44,57","40,85","79,12","40,26","4,27","0,00","42,13","43,12","20,67","7,10","40,10","1,96","0,59","-1,10","-1,65"
2025-11-13,01-02,"3,61","3,61","3,61","87,71","26,83","23,25","36,24","33,22","65,08","32,78","4,28","0,00","34,26","35,06","16,81","5,78","32,60","1,59","0,48","-0,90","-1,35"
2025-11-13,02-03,"3,60","3,60","3,60","85,01","23,72","21,62","30,88","28,47","28,12","29,67","4,28","0,00","30,53","31,25","14,98","5,15","29,06","1,42","0,43","-0,81","-1,21"
2025-11-13,03-04,"3,61","3,61","3,61","106,61","17,06","20,00","19,98","17,05","10,81","19,27","4,27","0,43","20,53","21,00","10,34","4,03","19,56","1,33","0,72","-0,11","-0,39"
2025-11-13,04-05,"6,55","6,55","6,55","95,02","22,99","25,00","25,37","23,50","61,42","25,37","6,70","0,02","25,40","25,99","12,41","4,29","24,17","1,18","0,38","-0,65","-0,99"
2025-11-13,05-06,"5,01","5,01","5,01","101,16","18,56","22,60","19,03","17,13","44,28","19,03","5,90","0,49","19,07","19,50","9,60","3,81","18,17","1,31","0,75","0,00","-0,25"
2025-11-13,06-07,"3,60","3,60","3,60","100,20","16,75","20,82","17,26","15,31","24,67","17,26","5,69","0,44","17,30","17,69","8,76","3,70","16,49","1,14","0,68","0,00","-0,22"
2025-11-13,07-08,"0,38","0,38","0,38","97,37","13,73","17,81","14,23","12,28","9,76","14,23","4,30","0,35","14,41","14,73","7,37","3,49","13,74","0,87","0,56","0,00","-0,19"
2025-11-13,08-09,"5,00","5,00","5,00","104,85","13,33","17,81","14,20","11,66","5,00","14,20","4,30","0,36","14,08","14,40","7,18","3,44","13,43","0,86","0,56","0,01","-0,17"
2025-11-13,09-10,"3,60","3,60","3,60","97,08","12,71","16,88","13,36","11,14","1,25","13,36","4,29","0,37","13,39","13,69","6,85","3,31","12,77","0,84","0,56","0,04","-0,13"
2025-11-13,10-11,"3,60","3,60","3,60","105,10","8,03","12,72","9,25","6,32","1,19","9,25","4,29","0,30","9,28","9,48","4,87","2,84","8,86","0,54","0,44","0,08","-0,04"
2025-11-13,11-12,"0,20","9,99","9,99","98,58","6,93","11,38","7,94","5,28","-1,31","7,94","4,29","0,21","8,45","8,64","4,42","2,63","8,07","0,41","0,33","0,00","-0,11"
2025-11-13,12-13,"1,14","1,14","1,14","104,24","8,05","13,17","8,57","5,77","1,14","8,57","4,29","0,21","8,11","8,30","4,31","2,58","7,74","0,42","0,36","0,00","-0,13"
2025-11-13,13-14,"0,17","3,71","3,71","105,33","7,02","11,93","8,09","5,08","1,19","8,09","4,28","0,17","7,66","7,84","4,09","2,58","7,32","0,33","0,31","-0,03","-0,15"
2025-11-13,14-15,"0,17","5,00","5,00","102,48","6,82","11,48","7,91","5,09","-1,35","7,91","4,28","0,18","7,49","7,66","4,01","2,58","7,15","0,33","0,31","-0,02","-0,14"
2025-11-13,15-16,"0,16","5,01","5,01","101,86","5,32","10,00","6,55","3,60","-1,33","6,55","4,28","0,16","6,57","6,72","3,58","2,58","6,28","0,24","0,28","0,00","-0,10"
2025-11-13,16-17,"0,12","0,12","0,12","86,16","4,56","8,51","5,64","3,25","-0,71","5,64","4,28","0,13","5,35","5,47","3,01","2,66","5,12","0,08","0,23","0,01","-0,07"
2025-11-13,17-18,"0,83","3,60","3,60","98,18","3,96","8,41","5,63","2,53","3,60","5,63","4,28","0,83","5,35","5,46","3,31","2,93","5,15","0,82","0,92","0,73","0,66"
2025-11-13,18-19,"5,01","5,01","5,01","105,38","5,88","10,99","5,63","3,97","5,01","5,63","4,27","1,29","5,36","5,46","3,47","2,95","5,17","1,32","1,37","1,19","1,13"
2025-11-13,19-20,"10,01","10,01","10,01","107,49","9,16","14,60","7,10","6,90","48,62","7,10","4,27","1,50","6,74","6,88","4,11","2,58","6,49","1,73","1,61","1,35","1,26"
2025-11-13,20-21,"1,28","1,28","1,28","100,00","7,43","12,00","9,18","5,95","1,28","8,26","4,28","1,28","8,70","8,91","4,95","2,58","8,34","1,64","1,42","1,06","0,91"
2025-11-13,21-22,"3,61","3,61","3,61","109,28","14,10","16,90","15,63","12,56","4,72","15,63","4,28","1,80","15,69","16,07","8,66","4,19","15,00","2,48","2,07","1,38","1,12"
2025-11-13,22-23,"3,51","3,51","3,51","113,21","29,42","17,55","32,10","28,54","74,59","31,09","4,28","1,57","31,15","31,95","16,19","6,63","29,68","3,02","2,15","0,69","0,12"
2025-11-13,23-00,"3,60","3,60","3,60","123,00","43,30","18,98","46,98","43,48","112,44","46,98","4,29","1,75","42,17","43,16","23,28","6,01","40,36","3,14","2,49","0,72","0,04"
