Date,Hour,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-11-10,00-01,"20,06","93,40","93,40","94,87","84,88","63,57","92,38","87,68","93,40","92,38","92,34","18,31","63,61","67,56","35,12","10,10","56,77","11,20","5,00","33,07","43,01"
2025-11-10,01-02,"18,29","90,52","90,52","91,56","85,26","71,85","89,98","87,02","90,52","89,98","89,94","18,28","63,46","67,38","35,06","10,10","56,69","11,19","5,00","33,00","42,92"
2025-11-10,02-03,"18,25","88,80","88,80","92,70","70,71","23,20","87,40","76,94","88,80","87,40","87,36","18,24","63,29","67,16","34,98","10,12","56,60","11,18","5,00","32,92","42,80"
2025-11-10,03-04,"18,29","87,70","87,70","92,12","67,34","13,74","86,16","74,37","87,70","86,16","86,12","18,28","63,16","66,99","34,98","10,11","56,53","11,23","5,09","32,90","42,75"
2025-11-10,04-05,"18,03","89,50","89,50","91,81","78,91","51,04","88,71","82,14","89,50","88,71","88,67","18,03","62,95","66,75","34,65","10,12","56,37","11,01","5,00","32,61","42,52"
2025-11-10,05-06,"18,17","89,52","89,52","92,62","75,28","37,82","88,46","79,63","89,52","88,46","88,42","18,16","62,85","66,63","34,75","10,12","56,31","11,15","5,21","32,67","42,52"
2025-11-10,06-07,"18,27","87,63","87,63","91,14","71,53","29,17","86,43","76,45","87,63","86,43","86,39","18,27","62,80","66,59","34,83","10,13","56,26","11,26","5,37","32,72","42,54"
2025-11-10,07-08,"18,49","88,27","88,27","92,18","70,35","23,17","86,94","75,82","88,27","86,94","86,90","18,48","62,77","66,57","35,00","10,17","56,20","11,47","5,66","32,85","42,61"
2025-11-10,08-09,"17,93","91,47","91,47","93,97","80,11","49,98","90,65","83,95","91,47","86,44","90,60","17,92","62,73","66,53","34,51","10,17","56,20","10,95","4,99","32,48","42,37"
2025-11-10,09-10,"17,93","90,89","90,89","94,83","73,03","25,65","89,60","79,06","90,89","87,13","89,56","17,92","62,72","66,53","34,50","10,20","56,18","10,95","4,99","32,47","42,37"
2025-11-10,10-11,"17,93","89,39","89,39","92,88","73,57","31,61","88,25","78,92","89,39","82,39","88,20","17,92","62,71","66,52","34,49","10,21","56,16","10,96","5,00","32,47","42,36"
2025-11-10,11-12,"88,52","88,52","88,52","92,81","69,01","17,29","87,11","75,61","88,52","79,88","87,06","18,66","62,68","66,51","35,16","10,22","56,11","11,64","6,00","32,94","42,65"
2025-11-10,12-13,"17,32","89,81","89,81","93,31","72,27","27,62","88,17","78,06","89,81","88,17","88,13","17,32","62,58","66,33","33,96","10,21","56,13","10,41","4,26","32,02","42,04"
2025-11-10,13-14,"36,19","36,19","36,19","92,61","70,77","24,44","87,27","76,78","88,97","87,27","87,23","17,87","62,60","66,36","34,47","10,24","56,13","10,93","4,99","32,39","42,28"
2025-11-10,14-15,"38,97","38,97","38,97","92,63","72,16","28,73","87,63","77,79","89,22","87,62","87,58","17,88","62,34","65,94","34,46","10,26","56,14","10,98","5,09","32,31","42,13"
2025-11-10,15-16,"88,82","88,82","88,82","92,66","69,60","20,67","87,02","75,94","88,82","87,02","86,98","19,42","62,32","65,92","35,90","10,28","56,13","12,41","7,18","33,30","42,75"
2025-11-10,16-17,"35,41","35,41","35,41","90,62","68,86","23,08","85,32","75,15","86,94","85,32","85,28","16,93","62,00","65,36","33,55","10,46","56,16","10,18","3,93","31,61","41,56"
2025-11-10,17-18,"40,00","40,00","40,00","90,12","69,31","25,56","85,05","75,33","86,59","85,05","85,01","17,70","62,11","65,51","34,26","10,59","56,23","10,90","4,92","32,15","41,94"
2025-11-10,18-19,"17,78","88,63","88,63","92,30","70,65","25,13","87,02","76,91","88,63","87,02","86,98","17,78","62,19","65,61","34,34","10,63","56,28","10,97","5,00","32,23","42,02"
2025-11-10,19-20,"20,92","93,54","93,54","96,70","74,95","29,54","91,32","81,20","93,54","91,31","91,28","20,91","62,25","65,72","37,28","10,66","56,32","13,87","9,20","34,28","43,33"
2025-11-10,20-21,"17,51","123,92","123,92","92,02","68,07","17,66","86,07","75,31","88,28","86,07","86,03","17,50","62,09","65,21","33,97","10,21","56,89","10,64","4,99","31,68","41,71"
2025-11-10,21-22,"88,35","88,35","88,35","91,39","71,88","30,83","86,54","77,78","88,35","86,54","86,51","25,72","62,32","65,54","37,69","10,29","57,04","15,70","11,95","38,83","47,62"
2025-11-10,22-23,"36,81","400,05","400,05","100,13","77,75","30,62","94,57","84,52","96,64","94,57","94,56","36,79","62,57","65,75","35,16","10,34","57,22","17,75","13,98","51,51","59,99"
2025-11-10,23-00,"173,29","273,11","273,11","108,50","82,60","28,06","102,07","90,43","104,46","102,07","102,07","52,00","63,04","66,31","35,03","10,43","57,50","22,66","19,99","67,61","75,10"
