Date,Hour,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-09-27,00-01,"25,00","85,00","85,00","85,07","84,67","83,93","84,99","84,80","87,48","84,99","84,80","19,74","57,55","69,66","21,37","1,99","55,25","11,90","11,12","31,60","38,76"
2025-09-27,01-02,"20,84","83,65","83,65","85,04","79,35","66,20","83,26","83,26","83,65","83,26","83,07","20,84","56,39","68,69","24,93","1,63","55,14","13,39","12,74","31,96","38,69"
2025-09-27,02-03,"23,16","83,19","83,19","84,98","76,11","57,91","82,70","80,00","83,19","82,70","82,51","23,16","58,10","68,94","24,97","1,08","55,62","15,99","15,27","34,06","40,14"
2025-09-27,03-04,"25,03","83,07","83,07","85,10","75,39","54,87","82,51","80,00","83,07","81,57","81,40","25,03","57,92","68,79","26,71","1,06","55,78","18,24","17,56","35,37","41,09"
2025-09-27,04-05,"24,74","36,60","36,60","88,55","73,55","44,76","85,28","78,11","85,96","80,32","80,16","24,74","57,94","67,68","26,54","1,08","55,50","17,94","17,23","35,14","40,83"
2025-09-27,05-06,"25,70","36,97","36,97","92,55","77,11","47,51","89,19","81,62","92,39","81,62","81,46","25,70","56,61","68,35","27,09","1,08","55,95","19,25","18,52","35,52","41,04"
2025-09-27,06-07,"100,97","100,97","100,97","87,95","80,17","69,24","90,57","88,01","91,51","90,29","90,09","100,97","53,99","69,55","24,12","1,73","54,32","16,26","15,48","32,88","39,01"
2025-09-27,07-08,"120,28","120,28","120,28","101,33","86,38","66,47","105,45","100,99","104,91","100,99","100,75","120,28","53,26","73,95","24,33","1,09","54,86","16,72","15,93","33,05","39,63"
2025-09-27,08-09,"109,64","109,64","109,64","106,31","96,24","82,17","109,71","106,54","109,64","106,54","106,29","109,64","49,96","74,32","30,03","1,08","55,70","17,10","16,65","32,47","38,39"
2025-09-27,09-10,"97,22","97,22","97,22","98,09","92,97","82,66","96,92","94,44","97,22","94,44","94,24","97,22","62,98","69,99","27,50","1,72","59,66","13,74","12,88","34,02","41,29"
2025-09-27,10-11,"89,37","89,37","89,37","92,86","76,71","38,80","87,86","87,05","89,37","54,37","85,92","89,37","63,64","65,88","50,02","1,10","62,66","11,57","11,91","32,03","38,90"
2025-09-27,11-12,"70,42","70,42","70,42","80,91","59,86","20,25","75,00","65,67","70,42","15,09","71,75","70,42","62,94","65,17","25,60","1,92","57,46","11,71","10,78","32,47","39,36"
2025-09-27,12-13,"54,83","54,83","54,83","64,25","48,12","16,79","59,77","52,59","54,83","5,99","56,85","54,83","62,00","64,15","25,76","1,10","56,69","11,38","10,49","31,94","38,38"
2025-09-27,13-14,"36,61","36,61","36,61","37,84","29,76","12,91","36,11","32,40","36,61","7,40","36,09","36,61","56,74","58,56","26,01","1,07","52,17","9,85","9,17","28,76","34,38"
2025-09-27,14-15,"49,36","49,36","49,36","51,40","37,98","10,42","48,54","42,26","49,36","10,00","44,99","49,36","62,17","64,56","21,71","1,77","56,11","10,72","9,63","31,66","38,08"
2025-09-27,15-16,"79,64","79,64","79,64","83,16","60,00","11,66","78,22","67,10","79,64","54,69","65,76","79,64","63,42","65,86","21,84","2,37","55,73","10,44","9,34","31,77","39,02"
2025-09-27,16-17,"100,87","100,87","100,87","99,70","70,78","12,27","93,10","79,28","94,82","85,67","85,51","100,87","66,39","68,94","22,68","2,13","57,46","12,33","10,94","36,35","44,39"
2025-09-27,17-18,"250,00","250,00","250,00","112,98","71,39","29,20","112,01","102,80","124,15","106,50","106,51","249,99","60,33","73,10","13,95","3,16","56,39","18,88","11,17","91,75","105,85"
2025-09-27,18-19,"299,99","299,99","299,99","125,83","110,57","67,00","133,35","130,00","136,33","132,93","132,84","299,99","57,98","77,08","13,31","3,18","57,12","17,13","9,35","91,50","105,06"
2025-09-27,19-20,"211,59","211,59","211,59","141,55","131,17","92,56","148,61","145,92","148,93","145,92","145,88","211,59","72,37","75,98","8,06","3,36","61,99","17,63","7,15","111,68","129,49"
2025-09-27,20-21,"100,99","100,99","100,99","122,45","109,82","98,41","122,53","119,15","120,72","122,53","122,45","100,98","64,15","74,75","4,20","5,59","56,84","13,23","6,95","86,17","99,90"
2025-09-27,21-22,"83,66","83,66","83,66","114,12","93,73","72,10","114,40","109,74","111,11","113,02","112,83","83,66","57,33","73,99","9,13","6,49","54,26","9,01","5,35","55,91","64,97"
2025-09-27,22-23,"50,44","50,44","50,44","106,87","94,02","79,69","107,56","104,64","105,99","104,64","104,44","50,44","52,91","74,63","11,23","5,95","52,75","8,16","5,63","45,21","53,49"
2025-09-27,23-00,"27,59","27,59","27,59","102,70","88,87","82,05","99,54","96,52","99,49","99,54","99,27","27,59","49,29","72,00","13,68","5,97","50,76","6,86","5,24","25,65","32,77"
