Date,Hour,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-04-25,00-01,"86,69","86,69","86,69","91,34","86,85","74,24","91,03","88,63","92,86","91,03","91,03","86,70","58,20","62,24","19,54","2,39","38,76","3,58","2,73","36,39","70,76"
2025-04-25,01-02,"83,48","83,48","83,48","83,05","78,46","65,01","82,92","80,55","83,48","82,92","82,92","83,48","56,37","60,16","19,17","1,82","38,58","3,43","2,60","35,32","68,69"
2025-04-25,02-03,"82,56","82,56","82,56","82,23","79,08","69,39","82,23","80,56","82,56","82,23","82,23","82,56","55,54","59,24","19,02","1,61","38,49","3,44","2,59","34,87","67,73"
2025-04-25,03-04,"84,00","84,00","84,00","83,60","77,84","61,31","83,40","80,45","84,00","83,40","83,40","84,00","55,61","59,25","20,06","1,59","38,65","3,48","2,79","34,84","67,45"
2025-04-25,04-05,"85,48","85,48","85,48","85,13","80,00","65,20","84,95","82,31","87,80","84,95","84,95","85,48","55,50","59,20","19,14","1,49","38,98","3,82","2,95","35,05","67,72"
2025-04-25,05-06,"162,49","115,93","115,93","95,38","89,17","72,99","94,64","91,61","95,88","94,64","94,64","162,49","60,38","64,81","19,87","1,49","39,22","4,26","3,33","38,53","73,43"
2025-04-25,06-07,"299,94","135,93","135,93","105,56","101,89","92,52","104,41","102,94","104,91","104,41","104,41","299,94","72,69","78,92","21,55","1,44","40,11","4,93","4,34","46,68","90,62"
2025-04-25,07-08,"299,94","113,39","113,39","113,39","113,39","113,39","113,39","113,39","113,39","113,39","113,39","299,94","97,27","106,04","35,14","2,48","47,06","8,49","8,69","59,87","113,39"
2025-04-25,08-09,"108,87","108,87","108,87","104,23","112,92","99,00","111,00","113,05","108,87","111,00","111,00","282,96","99,85","107,75","54,96","2,77","48,39","40,06","41,20","73,69","108,35"
2025-04-25,09-10,"95,66","95,66","95,66","83,10","114,47","80,50","99,41","99,41","95,72","99,41","99,41","154,10","80,89","86,90","36,13","3,30","48,30","12,07","12,72","52,30","95,48"
2025-04-25,10-11,"74,40","74,40","74,40","83,01","108,20","60,56","88,17","93,33","95,66","88,17","88,17","100,50","63,40","67,04","30,64","3,16","47,31","7,49","7,64","40,46","74,41"
2025-04-25,11-12,"69,69","69,69","69,69","73,49","92,22","45,58","75,45","81,65","92,84","75,45","75,45","69,69","59,22","62,32","29,44","2,49","46,69","6,61","6,75","37,65","69,71"
2025-04-25,12-13,"64,05","64,05","64,05","68,28","64,17","40,25","66,61","64,99","86,10","66,61","66,61","64,05","54,58","57,76","25,78","2,09","40,51","5,63","5,70","34,43","64,09"
2025-04-25,13-14,"31,42","31,42","31,42","50,47","45,00","15,11","48,03","45,98","78,72","48,03","48,00","31,42","51,50","54,40","23,47","1,59","40,08","7,62","3,65","26,36","37,86"
2025-04-25,14-15,"27,68","27,68","27,68","43,81","34,97","12,23","40,99","37,75","80,49","40,99","40,96","27,68","49,23","52,36","23,27","1,51","40,03","6,88","3,65","23,15","33,20"
2025-04-25,15-16,"33,09","56,90","56,90","65,31","47,00","0,00","59,47","52,76","86,16","59,47","59,47","33,09","52,16","55,10","24,04","1,78","39,81","4,50","3,86","31,56","57,94"
2025-04-25,16-17,"58,34","58,34","58,34","80,15","58,01","0,00","73,04","64,90","92,84","73,04","73,04","58,34","56,41","59,96","24,53","2,09","40,06","3,81","3,84","34,70","66,73"
2025-04-25,17-18,"84,83","84,83","84,83","85,90","81,11","52,13","84,19","82,00","93,89","84,19","84,20","28,76","59,12","65,43","30,05","1,31","50,54","4,27","4,91","38,71","75,60"
2025-04-25,18-19,"99,89","99,89","99,89","100,85","97,15","73,56","99,43","96,70","99,89","99,43","99,44","40,63","62,01","69,38","31,13","1,35","51,98","4,45","5,11","40,66","79,55"
2025-04-25,19-20,"116,23","116,23","116,23","116,76","114,53","100,57","115,99","114,95","116,23","115,99","115,99","39,96","61,78","74,74","28,74","1,39","43,70","4,97","5,59","40,92","80,97"
2025-04-25,20-21,"137,28","137,28","137,28","123,07","128,60","120,33","123,78","125,99","123,50","123,78","123,78","24,08","81,52","101,82","11,97","2,09","50,14","4,12","6,09","55,44","99,46"
2025-04-25,21-22,"109,63","109,63","109,63","109,63","109,63","109,63","109,63","109,63","109,63","109,63","109,64","18,19","63,67","70,39","11,76","2,47","51,25","4,30","5,46","40,54","73,22"
2025-04-25,22-23,"100,37","100,37","100,37","100,37","100,37","100,37","100,37","100,37","100,37","100,37","100,38","4,28","59,99","65,26","12,07","1,87","50,00","4,28","4,53","35,18","68,46"
2025-04-25,23-00,"75,00","75,00","75,00","92,09","92,09","92,09","92,09","92,09","92,09","92,09","92,09","3,65","56,62","63,64","11,46","2,10","44,49","3,65","3,88","33,76","65,94"
