Date,Hour,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-01-14,00-01,"1,03","1,03","1,03","109,69","122,03","122,19","106,38","89,37","108,05","36,91","12,17","0,20","31,61","30,94","3,09","0,92","29,53","0,40","0,30","0,00","-0,11"
2025-01-14,01-02,"1,02","1,02","1,02","106,62","117,71","117,67","103,70","88,75","105,17","40,00","9,28","0,20","31,35","30,69","3,09","0,92","29,29","0,40","0,29","0,00","-0,11"
2025-01-14,02-03,"1,02","1,02","1,02","102,30","114,34","114,53","99,08","82,61","100,70","41,60","5,00","0,18","31,27","30,61","3,09","0,91","29,21","0,38","0,28","-0,02","-0,13"
2025-01-14,03-04,"1,03","1,03","1,03","100,96","112,03","112,20","97,99","82,06","99,48","42,25","3,69","0,09","31,22","30,56","3,08","0,85","29,17","0,30","0,20","-0,11","-0,23"
2025-01-14,04-05,"1,01","1,01","1,01","104,04","112,21","112,20","101,88","91,09","102,96","40,22","3,69","0,20","31,25","30,59","3,07","0,91","29,23","0,39","0,29","0,00","-0,11"
2025-01-14,05-06,"1,26","1,26","1,26","109,24","114,34","114,34","107,64","100,55","107,78","46,21","3,70","1,26","31,62","30,91","3,01","1,50","29,46","1,26","1,21","1,06","1,02"
2025-01-14,06-07,"5,79","5,79","5,79","137,62","137,76","138,52","123,40","109,90","122,72","50,40","23,00","1,96","33,01","32,63","3,00","2,14","30,02","1,96","1,93","1,82","1,79"
2025-01-14,07-08,"91,09","91,09","91,09","160,41","160,84","161,02","156,62","152,42","157,83","60,29","55,00","2,52","34,09","33,13","3,00","2,38","31,94","2,52","2,55","3,33","3,88"
2025-01-14,08-09,"91,10","91,10","91,10","184,96","186,54","186,54","184,03","181,31","184,15","68,51","95,82","2,72","34,74","33,77","3,10","2,52","32,57","2,66","2,69","19,08","33,90"
2025-01-14,09-10,"91,09","91,09","91,09","151,98","152,46","152,47","151,86","151,12","151,92","63,02","103,24","2,70","35,09","34,17","3,68","2,69","32,91","2,70","2,70","19,19","34,53"
2025-01-14,10-11,"91,09","91,09","91,09","137,85","133,59","133,76","117,62","100,40","123,39","55,11","79,23","2,86","34,68","33,78","3,83","2,86","32,54","2,86","2,86","17,03","29,64"
2025-01-14,11-12,"91,09","91,09","91,09","129,18","114,15","114,53","109,31","104,45","116,98","56,13","75,63","2,91","34,66","33,78","4,22","3,31","32,54","2,91","2,92","19,09","34,19"
2025-01-14,12-13,"91,09","91,09","91,09","124,54","111,87","112,37","103,11","93,72","111,48","48,23","62,37","3,23","34,05","33,18","4,40","3,54","31,99","3,22","3,23","19,01","33,53"
2025-01-14,13-14,"79,91","79,91","79,91","122,33","111,31","111,63","108,11","105,00","117,04","52,19","55,00","3,50","33,91","33,15","5,36","3,74","31,89","3,50","3,46","19,14","33,90"
2025-01-14,14-15,"91,09","91,09","91,09","132,30","115,85","116,44","115,35","115,56","118,32","60,40","47,00","3,46","34,42","35,07","5,14","4,16","29,91","3,47","3,35","19,97","36,22"
2025-01-14,15-16,"91,10","91,10","91,10","147,30","127,36","129,11","125,35","126,14","124,86","56,99","42,60","7,64","34,60","33,93","6,50","4,10","32,57","3,58","3,49","21,73","35,15"
2025-01-14,16-17,"91,09","91,09","91,09","162,32","143,58","145,13","141,97","142,58","136,27","69,46","103,29","8,87","35,64","36,88","6,80","4,57","31,10","3,17","2,93","24,00","39,12"
2025-01-14,17-18,"91,10","91,10","91,10","184,80","167,73","169,66","165,86","166,54","157,79","73,89","125,91","9,10","36,64","36,40","8,00","4,44","34,16","3,45","3,27","23,68","38,38"
2025-01-14,18-19,"91,09","91,09","91,09","188,31","186,82","188,31","170,07","154,14","164,50","69,86","117,18","10,51","36,52","35,71","6,48","4,49","34,37","4,24","4,19","23,44","36,48"
2025-01-14,19-20,"91,09","91,09","91,09","179,97","188,82","189,54","158,38","127,50","156,39","62,03","93,64","11,45","36,25","35,28","5,63","4,68","34,13","4,88","4,91","23,53","35,30"
2025-01-14,20-21,"91,09","91,09","91,09","157,99","152,40","154,00","135,46","117,00","125,44","58,94","42,52","6,25","36,30","35,16","3,53","4,77","34,02","5,84","6,03","20,26","33,59"
2025-01-14,21-22,"91,09","91,09","91,09","137,73","126,13","127,62","117,69","111,00","110,40","59,42","30,09","12,17","39,23","35,29","2,23","4,88","33,26","10,35","11,45","21,50","29,86"
2025-01-14,22-23,"35,05","35,05","35,05","136,20","134,43","135,31","121,00","108,43","112,62","58,84","25,67","21,48","40,01","35,10","1,97","4,74","32,57","15,34","17,55","23,92","25,30"
2025-01-14,23-00,"30,09","30,09","30,09","124,78","122,03","122,27","121,76","121,87","111,68","68,84","27,16","19,69","35,75","35,06","2,31","4,64","32,47","16,18","18,61","22,04","23,38"
