Date,Hour,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-05-24,00-01,"121,54","121,54","121,54","107,30","85,85","24,79","98,99","97,60","121,54","97,60","97,60","3,96","80,76","84,35","0,22","4,92","49,51","3,95","3,77","42,15","85,59"
2025-05-24,01-02,"95,68","95,68","95,68","97,78","80,41","14,80","94,76","94,76","115,73","94,76","91,74","2,57","77,24","80,67","0,67","2,12","47,34","2,57","2,73","39,70","81,80"
2025-05-24,02-03,"89,97","89,97","89,97","93,00","74,88","10,93","88,74","88,74","117,38","88,74","88,74","1,65","72,75","75,93","1,46","1,16","47,68","1,65","1,85","37,43","77,43"
2025-05-24,03-04,"85,43","85,43","85,43","87,85","70,76","10,34","84,22","82,60","117,42","84,22","77,51","1,26","72,52","75,65","2,61","1,14","46,58","1,39","1,50","37,16","77,65"
2025-05-24,04-05,"77,05","77,05","77,05","85,81","68,67","9,56","82,93","76,43","119,06","82,93","76,72","1,09","71,77","74,86","3,21","1,09","45,61","1,22","1,31","36,92","76,83"
2025-05-24,05-06,"76,03","76,03","76,03","83,13","62,50","9,99","80,71","71,79","124,70","80,71","75,34","0,22","69,75","72,72","4,13","1,07","46,20","0,58","0,52","36,41","75,56"
2025-05-24,06-07,"71,56","71,56","71,56","83,46","61,36","13,32","82,07","71,70","123,43","82,07","82,08","1,25","64,86","67,37","8,69","1,08","46,42","1,46","1,62","34,44","70,99"
2025-05-24,07-08,"68,80","68,80","68,80","78,03","62,01","12,91","76,90","69,18","120,95","76,90","76,40","1,62","61,67","63,90","11,53","1,08","46,47","1,78","2,03","32,96","68,14"
2025-05-24,08-09,"61,79","61,79","61,79","62,51","46,21","10,60","62,09","53,45","102,02","62,09","57,79","2,57","52,05","53,35","21,67","1,06","45,47","2,36","2,59","29,10","57,79"
2025-05-24,09-10,"11,77","11,77","11,77","12,26","12,26","12,26","12,26","12,26","71,93","12,26","17,04","3,03","43,69","44,99","15,16","1,02","36,62","1,53","0,53","10,18","15,23"
2025-05-24,10-11,"3,00","3,00","3,00","-0,01","0,00","0,00","-0,01","-0,01","21,54","-0,01","0,00","0,23","39,12","39,98","18,91","1,00","36,51","0,19","-0,06","0,00","-0,01"
2025-05-24,11-12,"3,90","3,90","3,90","0,00","-0,06","0,00","-0,11","-0,09","1,35","-0,09","-0,10","-0,01","34,99","35,87","16,98","0,95","34,99","0,11","-0,14","-0,10","-0,10"
2025-05-24,12-13,"5,99","5,99","5,99","0,08","-0,08","-0,01","-0,15","-0,12","1,17","-0,12","-0,14","-0,02","39,07","39,92","18,31","0,91","36,44","0,06","-0,17","-0,15","-0,15"
2025-05-24,13-14,"10,50","10,50","10,50","0,08","-0,11","-0,02","-0,19","-0,16","18,36","-0,16","-0,19","-0,12","15,53","15,95","7,51","0,10","15,56","-0,14","-0,20","-0,20","-0,19"
2025-05-24,14-15,"65,03","65,03","65,03","0,27","-0,08","-0,02","-0,39","0,23","47,46","-0,05","-0,33","-0,10","6,06","6,19","2,84","-0,06","5,66","-0,10","-0,10","-0,27","-0,36"
2025-05-24,15-16,"65,06","65,06","65,06","-0,96","0,93","0,00","-1,77","5,97","76,61","-0,03","-0,04","-0,01","18,98","19,39","9,00","0,09","17,72","-0,02","-0,06","-0,05","-0,04"
2025-05-24,16-17,"10,63","10,63","10,63","1,72","5,67","0,29","-0,39","20,00","94,78","0,01","4,16","0,23","31,00","31,70","13,98","0,99","28,83","-0,03","-0,50","2,19","3,67"
2025-05-24,17-18,"65,06","65,06","65,06","54,16","44,47","0,80","48,67","66,00","119,05","48,67","44,50","3,83","56,75","58,79","10,33","1,02","44,73","1,76","0,52","24,57","41,64"
2025-05-24,18-19,"153,40","153,40","153,40","90,01","72,83","11,89","85,34","88,00","140,94","85,34","85,01","2,91","65,37","67,81","9,46","1,05","51,11","2,75","1,74","37,79","77,51"
2025-05-24,19-20,"125,65","125,65","125,65","118,77","92,58","17,39","109,08","106,42","125,65","109,08","109,07","9,57","72,12","74,86","9,21","1,04","56,64","4,21","1,58","54,28","106,44"
2025-05-24,20-21,"193,74","193,74","193,74","138,44","95,09","19,17","111,00","104,35","193,74","111,00","111,00","8,77","74,54","77,38","9,74","0,99","58,65","3,89","1,26","53,86","108,32"
2025-05-24,21-22,"154,33","154,33","154,33","124,99","94,82","36,10","107,92","102,22","154,33","107,91","107,91","6,39","66,46","76,34","21,97","0,99","49,61","3,74","0,52","51,27","105,30"
2025-05-24,22-23,"131,46","131,46","131,46","104,12","85,00","52,00","92,06","89,09","131,46","89,12","89,12","2,85","67,69","76,78","22,21","0,97","51,27","2,72","0,00","44,79","89,69"
2025-05-24,23-00,"116,26","116,26","116,26","92,94","67,23","37,00","79,67","73,22","116,26","73,97","73,97","0,40","66,20","71,77","12,79","1,03","49,86","1,75","0,35","36,17","73,97"
