Date,Hour,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-02-27,00-01,"177,99","177,99","177,99","106,10","101,83","102,25","101,48","101,65","117,17","101,48","101,48","6,39","46,82","49,13","11,19","3,00","40,83","6,40","6,26","29,45","48,78"
2025-02-27,01-02,"103,81","103,81","103,81","103,81","103,81","103,81","103,81","103,81","113,96","103,81","103,81","6,39","45,46","47,64","12,79","2,93","39,97","6,41","6,20","29,29","48,35"
2025-02-27,02-03,"101,99","101,99","101,99","103,05","101,25","101,30","101,24","101,24","107,81","101,24","101,24","7,77","45,86","47,35","11,24","3,00","40,77","7,78","7,70","29,38","46,85"
2025-02-27,03-04,"100,58","100,58","100,58","102,53","99,61","99,68","99,60","99,60","110,02","99,60","99,60","9,57","45,75","47,11","10,68","3,38","40,79","9,57","9,57","29,76","45,61"
2025-02-27,04-05,"100,99","100,99","100,99","101,76","100,41","100,39","100,43","100,41","120,47","100,43","100,43","10,27","46,38","47,51","15,00","3,41","42,11","10,28","10,14","31,28","48,13"
2025-02-27,05-06,"124,02","124,02","124,02","107,17","105,45","104,35","105,87","105,62","119,29","105,62","105,87","13,91","47,34","49,76","18,16","3,51","42,00","11,09","10,85","34,20","50,82"
2025-02-27,06-07,"179,99","179,99","179,99","147,79","115,74","117,14","115,18","115,15","140,99","115,15","115,15","23,01","50,47","54,87","28,11","3,99","44,18","10,94","10,28","42,62","60,09"
2025-02-27,07-08,"283,04","283,04","283,04","155,92","148,38","145,00","152,32","151,24","165,19","151,24","152,33","35,04","97,54","139,08","37,30","8,49","46,47","11,46","10,36","79,59","119,78"
2025-02-27,08-09,"283,01","283,01","283,01","161,74","159,23","159,47","159,05","159,15","158,25","159,05","159,06","46,43","104,98","152,82","38,79","18,81","46,31","11,81","10,65","89,76","129,19"
2025-02-27,09-10,"285,99","285,99","285,99","146,55","138,58","129,18","142,58","140,00","142,35","142,58","142,59","110,08","95,52","135,79","37,13","6,48","45,98","11,88","10,80","113,48","117,14"
2025-02-27,10-11,"283,02","283,02","283,02","133,57","123,84","109,49","129,94","126,01","130,07","126,01","129,95","39,39","87,96","122,08","37,82","5,29","45,78","11,59","12,93","70,39","110,64"
2025-02-27,11-12,"190,00","190,00","190,00","118,15","107,27","100,19","110,00","108,12","108,67","110,00","110,01","39,11","78,35","104,71","36,17","4,28","45,59","11,54","12,87","63,98","98,40"
2025-02-27,12-13,"177,20","177,20","177,20","111,62","99,19","93,00","101,10","99,95","118,33","101,10","101,12","50,00","73,90","96,68","31,16","3,30","45,19","11,66","12,92","65,66","96,22"
2025-02-27,13-14,"189,99","189,99","189,99","114,90","103,26","89,00","109,25","97,50","124,41","100,80","109,26","39,19","58,15","68,17","26,09","3,19","44,70","11,98","10,41","56,01","71,48"
2025-02-27,14-15,"199,98","199,98","199,98","118,40","100,90","86,80","110,00","99,80","127,33","110,00","110,01","41,19","57,97","67,50","27,61","2,87","45,37","11,78","12,54","52,16","74,74"
2025-02-27,15-16,"193,30","193,30","193,30","132,33","106,30","89,00","123,00","100,00","149,73","118,76","123,01","36,62","54,07","60,25","26,69","2,84","45,52","11,82","12,28","48,11","69,23"
2025-02-27,16-17,"193,64","193,64","193,64","155,00","120,73","100,00","142,62","116,47","181,14","142,62","142,63","35,57","56,62","64,65","27,07","2,81","45,50","11,63","12,01","49,47","72,52"
2025-02-27,17-18,"283,05","283,05","283,05","161,06","134,47","113,95","158,69","144,51","192,37","158,69","158,71","44,77","98,47","139,03","34,72","2,77","45,81","11,46","12,20","80,40","127,88"
2025-02-27,18-19,"193,68","193,68","193,68","170,51","153,78","136,13","174,71","168,87","173,96","174,71","174,72","44,56","111,58","162,49","35,09","2,75","45,70","11,14","9,71","93,09","141,93"
2025-02-27,19-20,"189,99","189,99","189,99","164,17","155,80","161,31","163,17","146,00","163,11","163,17","163,18","44,77","75,76","98,95","28,58","2,76","45,18","10,76","9,04","70,39","94,54"
2025-02-27,20-21,"177,20","177,20","177,20","151,99","136,88","143,75","144,61","129,25","163,77","144,61","144,62","32,87","53,87","59,97","24,91","2,79","45,12","10,30","8,86","50,18","66,27"
2025-02-27,21-22,"211,32","211,32","211,32","138,09","123,19","132,88","136,54","104,90","138,96","136,54","136,54","42,79","50,51","54,60","23,92","2,85","44,35","10,05","8,66","52,78","61,98"
2025-02-27,22-23,"283,05","283,05","283,05","126,35","115,60","122,31","124,69","104,20","123,32","124,69","124,69","40,00","49,09","51,09","13,54","2,92","43,68","8,10","7,42","47,26","53,58"
2025-02-27,23-00,"200,01","200,01","200,01","114,80","110,31","113,50","114,89","105,26","114,88","114,89","114,89","29,14","48,34","49,70","11,04","2,88","43,17","6,35","6,22","40,59","49,99"
