Date,Hour,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-05-29,00-01,"103,14","103,14","103,14","96,15","114,80","49,63","99,13","112,24","120,88","99,13","99,16","5,67","70,93","74,30","2,08","1,57","44,44","5,53","3,23","34,39","87,67"
2025-05-29,01-02,"98,12","98,12","98,12","91,68","111,24","39,00","94,80","108,80","109,92","94,80","94,84","6,33","70,88","74,24","0,34","7,19","42,74","6,24","4,08","34,49","84,65"
2025-05-29,02-03,"95,44","95,44","95,44","89,99","103,43","43,81","92,06","102,10","103,21","92,06","92,08","6,57","70,22","73,56","0,85","4,34","43,63","6,48","4,05","34,18","82,78"
2025-05-29,03-04,"95,27","95,27","95,27","89,59","102,79","39,22","91,55","101,64","103,18","91,55","91,58","7,10","67,09","70,24","1,18","1,35","45,61","6,97","4,67","33,47","81,83"
2025-05-29,04-05,"90,61","90,61","90,61","89,32","104,00","38,24","91,54","102,51","96,72","91,54","91,57","7,67","68,20","71,39","0,93","1,20","43,51","7,54","4,93","33,71","79,35"
2025-05-29,05-06,"99,65","99,65","99,65","89,95","100,00","40,01","91,36","99,80","97,24","91,36","91,40","7,32","67,31","70,43","2,27","4,72","40,17","7,20","5,31","33,89","85,05"
2025-05-29,06-07,"95,27","95,27","95,27","87,42","85,05","37,95","89,46","98,18","122,91","89,46","89,48","29,03","65,41","68,45","2,84","1,26","39,51","8,07","5,91","33,33","81,49"
2025-05-29,07-08,"99,94","99,94","99,94","80,49","82,44","41,73","86,49","93,82","129,51","86,49","86,53","39,33","66,32","67,87","3,48","0,92","44,03","7,85","9,42","29,33","74,43"
2025-05-29,08-09,"108,90","108,90","108,90","81,60","91,00","38,24","82,95","90,17","112,74","82,95","82,97","35,01","62,25","65,04","3,99","1,13","38,97","8,82","6,31","31,86","74,71"
2025-05-29,09-10,"65,06","65,06","65,06","60,33","75,86","16,06","62,83","73,45","88,94","62,83","54,74","40,39","57,33","59,95","3,99","3,87","35,54","11,99","5,03","27,38","55,11"
2025-05-29,10-11,"23,35","23,35","23,35","17,47","31,36","5,99","19,93","28,13","18,95","19,93","27,97","23,35","53,04","54,21","3,99","0,87","38,21","7,67","5,58","18,37","25,82"
2025-05-29,11-12,"49,05","49,05","49,05","1,47","2,55","0,74","1,71","2,33","6,15","2,04","1,80","49,05","47,61","49,43","6,98","1,08","36,27","3,42","2,94","2,30","1,92"
2025-05-29,12-13,"56,15","56,15","56,15","0,01","-0,01","-0,01","0,03","0,00","0,57","0,29","1,39","56,15","36,90","38,53","5,59","1,11","37,39","2,65","2,30","1,78","1,49"
2025-05-29,13-14,"49,82","49,82","49,82","1,98","-1,59","-0,48","-1,68","-2,00","3,65","0,00","2,26","49,82","3,83","3,34","3,64","1,19","6,63","2,63","2,50","2,36","2,28"
2025-05-29,14-15,"40,00","40,00","40,00","-2,86","-1,71","-0,90","-1,99","-2,00","1,72","-0,20","2,00","40,00","2,38","1,67","2,91","1,34","5,34","2,23","2,14","2,06","2,01"
2025-05-29,15-16,"25,01","25,01","25,01","4,27","-2,05","-0,12","-1,98","-2,76","7,46","-0,13","2,31","25,01","16,90","13,59","11,63","1,06","29,73","4,26","3,69","2,89","2,45"
2025-05-29,16-17,"10,52","10,52","10,52","9,56","-1,06","-0,01","-1,09","-1,59","10,52","-1,09","5,61","10,52","8,89","7,29","8,35","1,16","16,79","4,83","4,86","5,32","5,53"
2025-05-29,17-18,"34,09","34,09","34,09","40,00","17,35","0,07","23,13","20,00","80,06","23,13","24,58","39,75","51,66","51,85","4,30","0,70","34,07","12,93","14,79","20,64","23,66"
2025-05-29,18-19,"76,23","76,23","76,23","58,10","52,78","17,77","65,50","59,62","137,91","59,62","63,01","70,57","53,34","54,87","17,82","12,43","43,22","10,11","8,22","29,64","66,06"
2025-05-29,19-20,"107,40","107,40","107,40","81,09","68,32","36,13","80,20","73,51","129,55","64,60","80,30","81,39","55,27","56,91","16,16","1,20","45,97","9,80","8,10","32,32","86,52"
2025-05-29,20-21,"102,60","102,60","102,60","90,45","76,67","71,63","77,17","75,20","206,21","70,11","79,97","49,98","61,15","63,43","9,63","2,15","45,99","9,99","8,16","33,82","85,04"
2025-05-29,21-22,"85,48","85,48","85,48","89,98","75,79","79,39","73,73","73,40","170,83","60,00","71,06","77,05","59,21","62,94","13,04","4,26","45,95","9,76","8,66","32,89","73,58"
2025-05-29,22-23,"91,15","91,15","91,15","89,97","77,49","79,14","76,66","76,30","125,94","49,23","72,90","66,33","58,34","60,29","13,90","5,16","44,94","9,04","7,20","31,56","76,02"
2025-05-29,23-00,"59,08","59,08","59,08","74,26","58,37","60,20","57,50","57,00","112,84","52,96","54,70","8,63","54,26","55,86","15,93","2,03","44,62","8,60","5,81","27,41","55,19"
