Date,Hour,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-08-08,00-01,"19,04","20,69","20,69","92,84","82,51","72,13","93,90","91,00","94,82","93,90","93,90","3,27","57,71","83,13","3,79","1,74","0,84","3,27","3,41","35,75","62,47"
2025-08-08,01-02,"12,64","12,64","12,64","89,29","75,60","64,44","89,49","87,92","90,63","88,88","88,88","3,65","11,59","82,54","2,84","1,66","0,94","3,65","3,69","8,63","12,65"
2025-08-08,02-03,"4,03","4,03","4,03","84,90","70,03","53,67","86,13","84,64","87,08","84,98","84,97","3,85","4,09","81,22","1,11","1,66","0,93","3,75","3,75","4,02","4,10"
2025-08-08,03-04,"4,18","4,18","4,18","81,59","65,44","47,28","82,66","81,00","84,02","81,31","81,30","3,93","4,58","77,07","-0,01","1,67","0,89","3,81","3,79","4,16","4,27"
2025-08-08,04-05,"9,91","9,91","9,91","79,81","69,90","52,29","81,45","80,88","82,30","80,88","80,88","4,10","9,36","77,67","2,22","1,68","0,69","4,10","4,13","7,35","9,94"
2025-08-08,05-06,"58,41","58,41","58,41","90,62","79,44","70,28","91,14","89,55","91,71","89,55","89,55","7,03","54,94","77,23","3,22","1,09","0,97","5,07","5,23","33,71","58,37"
2025-08-08,06-07,"59,20","59,20","59,20","98,57","90,75","73,00","100,43","100,43","101,48","100,43","100,43","47,91","52,22","80,18","7,40","1,80","0,95","5,24","4,94","33,05","58,92"
2025-08-08,07-08,"89,71","89,71","89,71","99,59","97,15","84,50","103,05","103,05","103,63","103,05","103,06","89,71","76,64","87,95","6,82","1,73","5,40","5,93","5,55","48,08","89,09"
2025-08-08,08-09,"90,42","90,42","90,42","78,77","100,46","78,69","109,14","108,11","94,78","108,11","109,15","90,42","73,87","84,99","7,14","2,50","6,08","6,87","6,50","46,89","85,39"
2025-08-08,09-10,"67,13","67,13","67,13","47,01","88,28","68,65","89,90","89,90","103,91","89,90","89,91","67,13","64,12","73,00","7,47","3,02","5,11","6,35","6,03","38,95","71,31"
2025-08-08,10-11,"50,63","50,63","50,63","5,28","65,17","41,13","66,00","66,00","77,47","66,00","66,00","50,63","48,10","53,88","4,06","2,50","4,92","6,68","6,82","29,29","50,62"
2025-08-08,11-12,"49,99","49,99","49,99","6,83","8,39","8,46","8,39","8,39","70,45","8,39","7,83","49,99","9,14","40,00","1,25","2,44","2,61","6,83","6,90","7,47","7,66"
2025-08-08,12-13,"87,58","87,58","87,58","0,00","0,00","0,00","0,00","0,00","64,97","0,09","3,51","87,58","4,04","22,04","3,11","2,50","1,96","3,52","3,60","3,74","3,79"
2025-08-08,13-14,"84,92","84,92","84,92","-0,01","-0,01","-0,01","-0,01","-0,01","46,80","0,00","1,53","84,92","2,85","2,84","3,11","3,01","2,89","2,64","2,70","2,73","2,75"
2025-08-08,14-15,"84,92","84,92","84,92","-0,01","-0,02","-0,02","-0,02","-0,02","51,52","0,00","1,57","84,92","2,77","12,16","3,41","3,11","4,44","2,69","2,75","2,76","2,78"
2025-08-08,15-16,"114,64","114,64","114,64","0,00","-0,01","-0,01","-0,01","-0,01","64,47","0,00","4,05","114,64","4,22","51,10","2,42","2,50","1,65","3,60","3,69","3,91","3,99"
2025-08-08,16-17,"65,06","65,06","65,06","10,49","10,49","10,49","10,49","10,49","84,83","10,49","6,48","65,06","7,08","40,01","3,33","2,49","2,31","5,84","5,94","6,27","6,39"
2025-08-08,17-18,"77,06","77,06","77,06","68,51","60,51","49,77","71,74","70,10","90,61","70,10","70,10","77,06","57,95","64,10","3,82","3,01","5,01","4,91","5,09","34,45","61,55"
2025-08-08,18-19,"105,78","105,78","105,78","100,84","84,52","68,62","103,86","101,44","114,15","101,44","101,45","105,78","70,12","78,13","5,15","2,02","2,93","4,87","5,14","41,96","74,99"
2025-08-08,19-20,"150,16","150,16","150,16","110,56","108,85","104,07","113,97","113,56","150,16","113,56","113,98","150,15","70,27","80,59","9,59","3,04","5,26","4,55","4,67","44,60","79,18"
2025-08-08,20-21,"159,50","159,50","159,50","128,00","126,68","96,16","144,62","144,62","190,47","144,62","144,62","103,82","76,52","86,53","6,22","3,03","5,04","3,85","4,14","45,76","83,01"
2025-08-08,21-22,"159,51","159,51","159,51","148,16","124,62","77,17","151,51","151,51","159,51","151,51","151,51","103,05","75,25","84,76","3,91","2,49","2,57","3,54","3,79","45,57","81,09"
2025-08-08,22-23,"64,84","64,84","64,84","118,34","110,00","85,70","121,59","121,59","123,86","121,59","121,59","50,59","59,84","82,52","3,62","1,76","3,00","3,49","3,70","36,80","64,72"
2025-08-08,23-00,"16,23","16,23","16,23","106,89","101,74","86,20","108,46","108,46","109,28","108,46","108,46","3,02","14,53","82,42","3,76","1,56","5,06","3,00","3,08","10,20","16,20"
