Date,Hour,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-11-17,00-01,"90,51","90,51","90,51","91,16","86,16","73,80","90,05","87,90","90,51","70,04","70,01","62,07","68,33","69,43","46,23","35,41","66,15","31,13","26,38","46,70","53,43"
2025-11-17,01-02,"90,18","90,18","90,18","92,08","77,47","41,37","88,84","82,57","92,36","68,56","66,99","52,00","68,03","69,16","45,33","34,02","65,79","29,88","25,00","45,84","52,75"
2025-11-17,02-03,"40,67","91,60","91,60","93,80","76,87","35,05","90,04","82,78","91,60","68,69","60,00","40,66","67,72","68,88","44,45","32,62","65,43","28,65","23,64","45,00","52,08"
2025-11-17,03-04,"85,92","85,92","85,92","88,33","69,84","24,14","84,23","76,29","94,86","68,69","53,20","47,31","67,43","68,63","43,46","31,43","65,07","27,14","21,98","44,00","51,30"
2025-11-17,04-05,"87,01","87,01","87,01","88,00","80,87","63,53","86,36","83,29","99,26","66,21","66,19","40,47","66,29","67,27","47,07","36,31","64,38","33,00","28,99","46,94","52,92"
2025-11-17,05-06,"83,19","83,19","83,19","84,61","74,37","49,46","82,26","77,84","99,42","66,89","66,87","38,21","66,19","67,21","46,06","34,79","64,19","31,35","27,15","45,93","52,19"
2025-11-17,06-07,"80,50","80,50","80,50","81,71","72,96","51,67","79,70","75,93","99,38","65,79","65,77","37,45","66,11","67,15","45,61","34,12","64,07","30,62","26,35","45,48","51,86"
2025-11-17,07-08,"74,93","74,93","74,93","76,47","65,34","38,25","73,91","69,11","99,06","65,07","65,04","35,60","65,79","66,83","45,27","33,73","63,75","30,27","25,99","45,14","51,52"
2025-11-17,08-09,"78,67","78,67","78,67","79,44","73,54","59,55","78,13","75,66","99,44","64,33","64,30","36,54","65,13","66,04","46,44","36,05","63,27","32,93","29,00","46,42","52,03"
2025-11-17,09-10,"75,34","75,34","75,34","76,28","69,03","51,85","74,67","71,63","99,49","64,30","64,28","36,32","65,10","66,01","46,29","35,83","63,22","32,69","28,73","46,27","51,91"
2025-11-17,10-11,"73,73","73,73","73,73","75,20","63,92","37,16","72,70","67,97","99,52","62,96","62,94","36,25","63,77","64,64","45,78","35,78","61,97","32,77","28,99","45,76","51,16"
2025-11-17,11-12,"72,23","72,23","72,23","74,18","59,16","23,54","70,85","64,55","99,68","61,78","61,76","36,21","62,60","63,44","45,35","35,76","60,88","32,88","29,25","45,33","50,51"
2025-11-17,12-13,"73,61","73,61","73,61","75,27","67,91","42,04","72,35","60,38","99,35","60,38","60,36","37,76","61,27","62,02","45,97","37,35","59,81","34,79","31,57","45,85","50,62"
2025-11-17,13-14,"72,14","72,14","72,14","74,20","62,63","28,39","70,61","58,64","96,62","58,64","58,62","38,10","59,55","60,24","45,58","37,72","58,22","35,38","32,44","45,48","49,83"
2025-11-17,14-15,"36,12","73,00","73,00","75,41","60,86","19,98","71,24","58,49","98,59","58,49","58,48","36,11","59,33","60,08","44,22","35,71","57,89","33,18","30,00","44,11","48,81"
2025-11-17,15-16,"72,92","72,92","72,92","75,43","59,78","16,78","71,09","58,40","99,63","58,40","58,39","38,86","59,35","60,00","46,01","38,50","58,08","36,27","33,47","45,91","50,07"
2025-11-17,16-17,"35,95","73,08","73,08","75,39","61,88","23,37","71,39","58,50","100,21","58,50","58,48","35,95","59,33","60,08","44,10","35,53","57,85","33,00","29,84","43,99","48,75"
2025-11-17,17-18,"73,38","73,38","73,38","75,97","59,63","15,39","71,50","58,43","100,32","58,43","58,41","38,36","59,35","60,03","45,68","37,98","58,02","35,71","32,87","45,58","49,85"
2025-11-17,18-19,"76,41","76,41","76,41","79,75","57,75","0,00","74,01","58,39","102,57","58,39","58,38","41,57","59,43","60,01","47,80","41,25","58,30","39,31","36,90","47,72","51,35"
2025-11-17,19-20,"82,10","82,10","82,10","85,65","66,43","8,60","79,48","57,80","104,45","57,80","57,78","45,19","58,98","59,42","49,99","44,94","58,11","43,44","41,58","49,93","52,74"
2025-11-17,20-21,"73,36","73,36","73,36","75,72","60,30","19,91","71,71","61,33","106,52","61,33","61,31","40,40","62,29","63,03","47,96","39,99","60,91","37,64","34,70","47,81","52,36"
2025-11-17,21-22,"157,50","157,50","157,50","88,00","77,29","34,15","82,86","61,91","104,44","61,91","61,89","44,95","63,04","63,64","51,19","44,60","61,89","42,66","40,24","51,07","54,83"
2025-11-17,22-23,"216,79","216,79","216,79","95,61","80,81","29,00","87,78","62,79","91,03","62,79","62,78","50,52","64,14","64,59","55,22","50,26","63,28","48,80","46,97","55,12","57,96"
2025-11-17,23-00,"347,41","347,41","347,41","110,14","80,36","19,58","92,05","66,79","100,95","66,79","66,78","64,72","65,53","65,56","65,00","64,71","65,48","64,62","64,51","65,00","65,16"
