Date,Hour,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-04-07,00-01,"58,19","58,19","58,19","90,01","83,33","48,37","86,71","83,64","88,20","83,64","83,64","6,19","48,15","50,89","25,79","1,46","44,00","6,17","6,60","30,81","57,65"
2025-04-07,01-02,"58,10","58,10","58,10","88,68","81,30","41,90","85,00","81,66","86,68","81,66","81,66","6,85","48,20","50,85","25,54","1,37","44,16","6,84","7,27","31,13","57,58"
2025-04-07,02-03,"57,97","57,97","57,97","85,02","78,30","43,32","81,73","78,69","83,22","78,69","78,70","7,10","48,14","50,88","25,59","1,37","43,75","7,09","7,53","31,21","57,45"
2025-04-07,03-04,"56,95","56,95","56,95","87,30","79,61","39,54","83,53","79,97","85,22","79,97","79,97","7,62","47,30","51,00","25,30","1,39","41,47","7,61","8,02","31,03","56,46"
2025-04-07,04-05,"87,02","87,02","87,02","88,98","83,02","39,74","85,45","82,80","87,02","82,80","82,80","9,27","48,25","50,99","26,87","1,44","44,07","9,26","9,65","32,58","57,19"
2025-04-07,05-06,"159,04","159,04","159,04","101,88","92,15","46,22","98,74","93,45","100,19","93,45","93,24","35,20","48,27","50,87","36,81","1,51","44,60","17,67","24,56","49,62","56,49"
2025-04-07,06-07,"131,96","131,96","131,96","132,32","115,61","79,02","131,10","124,04","131,96","124,04","124,25","49,97","49,79","51,73","39,41","2,29","47,18","38,92","40,02","49,54","124,55"
2025-04-07,07-08,"182,83","182,83","182,83","174,53","179,02","159,86","175,97","179,14","182,83","175,97","182,83","182,83","182,83","182,83","43,44","6,78","39,27","182,83","182,83","182,83","182,83"
2025-04-07,08-09,"152,73","152,73","152,73","144,33","145,00","143,04","144,61","144,61","144,53","144,61","144,61","152,73","144,61","144,61","49,81","8,75","46,24","144,61","144,61","144,61","144,61"
2025-04-07,09-10,"107,84","107,84","107,84","109,25","104,56","85,70","107,10","105,10","107,84","107,10","107,06","107,84","103,86","103,79","46,13","6,78","47,98","106,86","106,83","106,98","107,05"
2025-04-07,10-11,"60,87","60,87","60,87","84,73","78,72","63,12","83,37","79,03","84,07","83,37","60,87","60,87","60,87","60,87","49,95","6,78","51,56","60,87","60,87","60,87","60,87"
2025-04-07,11-12,"50,74","50,74","50,74","65,00","51,15","35,14","65,00","60,85","65,14","65,00","50,74","50,74","50,74","50,74","46,05","12,71","46,42","50,74","50,74","50,74","50,74"
2025-04-07,12-13,"40,06","40,06","40,06","43,92","11,65","11,80","11,80","11,80","62,53","11,80","40,06","40,06","40,06","40,06","39,71","6,78","40,06","40,06","40,06","40,06","40,06"
2025-04-07,13-14,"18,33","18,33","18,33","44,66","2,19","3,34","2,19","2,19","69,30","2,19","17,09","18,33","40,85","41,40","28,93","6,78","38,92","18,33","18,54","17,56","17,19"
2025-04-07,14-15,"36,81","36,81","36,81","60,70","0,00","0,00","3,94","2,20","79,10","3,94","36,81","36,81","36,81","36,81","36,49","6,78","36,81","36,81","36,81","36,81","36,81"
2025-04-07,15-16,"49,27","49,27","49,27","74,52","31,04","0,00","60,98","54,53","72,62","60,98","49,27","49,27","49,27","49,27","44,20","6,78","44,15","49,27","49,27","49,27","49,27"
2025-04-07,16-17,"52,97","52,97","52,97","93,10","57,77","16,62","72,00","62,61","83,44","72,00","52,97","52,97","52,97","52,97","44,15","6,78","43,96","52,97","52,97","52,97","52,97"
2025-04-07,17-18,"99,72","99,72","99,72","110,09","87,38","40,35","102,43","92,54","108,15","102,43","100,08","98,98","95,60","95,53","46,50","6,78","38,36","98,76","98,65","99,07","99,97"
2025-04-07,18-19,"132,99","132,99","132,99","129,14","109,37","48,04","127,60","115,74","143,56","127,60","127,60","127,35","123,73","123,65","43,01","9,22","39,45","127,30","127,27","127,45","127,53"
2025-04-07,19-20,"174,29","174,29","174,29","174,98","145,03","74,16","168,45","151,00","179,00","168,45","168,45","168,18","163,34","163,23","43,70","6,78","45,55","168,12","168,07","168,31","168,42"
2025-04-07,20-21,"164,84","164,84","164,84","156,80","157,70","156,00","165,05","152,26","177,99","165,05","165,05","164,67","160,05","159,94","47,12","16,96","45,46","164,60","164,56","164,78","164,89"
2025-04-07,21-22,"134,82","134,82","134,82","136,34","137,78","136,34","138,20","137,97","142,23","138,20","138,20","134,63","134,20","134,20","39,94","9,06","46,84","134,57","134,54","134,64","134,88"
2025-04-07,22-23,"118,01","118,01","118,01","122,91","115,83","118,34","121,02","107,50","122,62","121,02","121,02","117,69","117,00","116,99","43,66","8,70","46,98","117,60","117,55","117,71","118,11"
2025-04-07,23-00,"60,88","60,88","60,88","107,86","104,03","99,84","105,21","104,45","106,74","105,21","105,21","60,88","60,88","60,88","41,47","12,68","46,94","60,88","60,88","60,88","60,88"
