Date,Hour,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-06-06,00-01,"153,15","153,15","153,15","73,89","64,32","34,63","76,29","70,21","106,91","83,66","71,26","-0,30","42,33","71,93","10,64","2,01","46,12","0,40","0,18","23,92","47,92"
2025-06-06,01-02,"62,81","62,81","62,81","73,04","50,94","13,39","66,12","58,35","105,62","71,66","57,73","-0,30","34,75","68,38","10,37","2,25","37,56","0,49","0,17","19,47","39,55"
2025-06-06,02-03,"58,56","58,56","58,56","66,79","48,36","11,17","60,86","59,90","105,60","60,86","50,02","-0,21","44,55","61,32","11,21","2,37","46,27","0,64","0,37","24,85","50,32"
2025-06-06,03-04,"53,97","53,97","53,97","56,07","45,37","14,79","55,27","55,27","104,70","55,27","55,28","-0,02","45,79","56,94","11,15","2,48","47,15","0,81","0,57","25,61","51,60"
2025-06-06,04-05,"52,02","52,02","52,02","62,06","43,89","20,02","52,78","48,14","102,41","52,78","52,78","0,00","46,11","56,97","11,89","3,27","47,20","1,42","1,17","26,33","51,49"
2025-06-06,05-06,"65,99","65,99","65,99","63,21","45,53","0,00","63,70","54,48","100,42","63,70","61,94","2,66","56,30","58,53","12,38","3,91","47,47","2,68","2,59","32,49","62,21"
2025-06-06,06-07,"158,60","158,60","158,60","73,96","62,77","13,90","67,02","64,19","98,60","67,02","65,14","5,04","58,75","60,47","14,51","4,26","48,21","3,24","3,09","34,37","65,45"
2025-06-06,07-08,"149,99","149,99","149,99","84,66","65,79","5,19","74,43","68,97","85,01","74,43","67,64","30,08","60,97","62,76","19,94","7,83","47,87","5,31","4,91","36,47","67,98"
2025-06-06,08-09,"61,92","61,92","61,92","59,75","54,97","14,23","59,61","56,56","85,20","59,61","53,63","30,00","48,65","50,00","15,75","6,84","49,13","5,25","5,00","29,43","53,88"
2025-06-06,09-10,"10,87","10,87","10,87","6,58","4,29","4,66","3,94","4,07","65,00","13,27","12,29","7,70","42,07","39,39","10,30","0,87","40,47","5,80","6,73","10,01","11,79"
2025-06-06,10-11,"8,22","8,22","8,22","0,02","-0,01","0,00","-0,01","-0,01","0,02","3,99","2,56","3,92","43,86","44,53","10,30","5,18","44,04","3,95","3,73","3,02","2,68"
2025-06-06,11-12,"4,47","4,47","4,47","-0,83","-0,14","-0,01","-0,27","-0,20","0,50","2,04","1,90","2,78","40,08","40,68","10,30","4,28","40,25","3,16","2,97","2,32","2,01"
2025-06-06,12-13,"3,50","3,50","3,50","-5,93","-0,47","-0,02","-2,07","-2,00","2,99","1,50","1,19","2,32","39,19","39,99","10,30","4,10","39,48","2,34","2,60","1,75","1,33"
2025-06-06,13-14,"3,50","3,50","3,50","-9,31","-3,06","-1,04","-4,93","-3,94","1,06","0,31","0,62","1,85","33,95","34,82","10,49","3,75","34,26","1,88","2,15","1,23","0,78"
2025-06-06,14-15,"3,51","3,51","3,51","-9,24","-3,42","-1,67","-5,06","-4,20","0,24","-0,23","-0,23","1,56","40,40","41,67","14,40","4,33","40,93","1,62","2,03","0,66","0,00"
2025-06-06,15-16,"7,29","7,29","7,29","-11,41","-2,55","-0,01","-4,96","-3,69","0,15","-1,33","-0,93","1,30","45,58","47,14","17,00","4,33","46,25","0,79","1,85","0,17","-0,64"
2025-06-06,16-17,"14,00","14,00","14,00","0,01","-0,24","-0,01","-1,00","-0,03","14,00","-0,01","0,00","2,95","45,40","46,85","17,16","5,56","46,04","2,21","2,73","1,07","0,28"
2025-06-06,17-18,"4,90","4,90","4,90","-6,52","1,81","1,20","0,00","1,00","89,34","0,00","3,38","4,90","45,74","46,76","14,49","4,48","46,14","0,50","4,92","3,96","3,50"
2025-06-06,18-19,"76,39","76,39","76,39","62,04","42,90","14,34","50,47","46,29","147,92","46,85","48,41","12,62","45,81","46,66","14,01","5,99","46,11","2,82","6,05","27,41","48,53"
2025-06-06,19-20,"144,99","144,99","144,99","108,62","82,11","44,69","84,19","82,76","144,99","82,76","77,84","25,01","63,70","65,45","19,95","7,35","48,11","4,28","5,21","38,37","70,76"
2025-06-06,20-21,"75,36","75,36","75,36","102,99","109,54","57,85","112,57","111,05","196,07","111,05","111,05","13,98","65,24","67,52","20,01","4,34","48,11","5,23","5,20","40,16","74,45"
2025-06-06,21-22,"72,36","72,36","72,36","133,00","127,98","87,68","129,29","129,29","144,08","129,29","129,30","11,97","64,51","66,29","19,98","7,93","48,09","5,31","5,12","38,98","71,64"
2025-06-06,22-23,"70,50","70,50","70,50","124,66","131,10","119,03","125,72","127,72","125,46","125,72","125,73","4,92","63,31","64,94","17,42","7,00","48,14","5,00","5,24","38,32","69,85"
2025-06-06,23-00,"64,48","64,48","64,48","103,03","104,44","90,15","103,24","103,41","105,57","103,24","103,24","4,22","58,13","59,58","14,42","5,79","47,49","4,27","4,75","35,22","63,90"
