Date,Hour,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-06-09,00-01,"4,74","4,74","4,74","38,92","41,00","34,16","4,80","110,91","4,75","4,80","4,80","4,62","37,99","38,02","16,23","4,65","37,94","4,62","4,61","4,68","4,78"
2025-06-09,01-02,"4,48","4,48","4,48","32,63","32,97","28,03","4,15","86,00","8,14","4,15","4,18","3,86","12,58","15,39","8,11","3,33","32,00","3,73","3,78","4,01","4,14"
2025-06-09,02-03,"3,51","3,51","3,51","34,33","25,87","21,99","4,19","65,00","0,00","4,19","4,15","3,51","12,24","16,15","9,53","2,36","30,19","3,22","3,35","3,82","4,09"
2025-06-09,03-04,"4,05","4,05","4,05","33,52","24,58","21,10","4,27","60,90","0,23","4,27","4,27","3,66","12,29","17,37","8,83","2,49","30,02","3,38","3,50","3,96","4,20"
2025-06-09,04-05,"6,66","6,66","6,66","37,91","30,39","19,82","13,42","69,90","6,66","13,42","9,99","7,06","18,31","17,52","14,91","1,41","22,92","5,73","6,35","8,52","9,66"
2025-06-09,05-06,"25,35","25,35","25,35","51,04","40,44","21,88","32,20","70,00","25,35","32,20","25,59","25,35","35,60","33,18","17,71","1,40","33,94","7,40","9,73","18,24","25,11"
2025-06-09,06-07,"65,17","65,17","65,17","53,18","81,60","23,51","44,97","59,82","65,17","44,97","43,91","65,17","44,93","44,64","16,78","4,36","44,67","7,53","43,53","43,85","43,89"
2025-06-09,07-08,"207,43","58,48","58,48","31,81","75,00","21,71","40,04","54,78","58,48","40,04","39,14","207,43","40,28","39,98","17,13","8,76","40,03","7,71","38,69","39,02","39,10"
2025-06-09,08-09,"299,90","7,30","7,30","0,34","7,44","12,13","2,97","5,13","24,59","2,97","6,79","299,90","15,73","21,30","11,92","5,37","40,34","6,04","6,15","6,53","6,73"
2025-06-09,09-10,"257,99","4,13","4,13","-4,00","0,51","1,69","-0,62","0,00","0,06","0,00","4,12","257,99","12,67","19,47","8,13","4,27","45,01","4,18","4,16","4,13","4,12"
2025-06-09,10-11,"224,00","3,50","3,50","-1,96","-0,74","-0,02","-1,14","-0,97","0,05","-0,14","2,33","224,00","12,45","20,53","6,33","3,70","45,91","3,02","2,91","2,55","2,39"
2025-06-09,11-12,"249,99","3,51","3,51","-8,09","-2,87","-1,48","-4,14","-3,40","0,02","-0,80","1,76","249,99","10,91","19,68","5,42","3,02","45,96","2,40","2,30","1,97","1,82"
2025-06-09,12-13,"249,99","3,51","3,51","-14,32","-8,25","-6,42","-10,00","-9,03","-2,31","-0,31","0,00","249,99","11,99","19,48","4,73","1,67","46,17","0,88","0,74","0,30","0,08"
2025-06-09,13-14,"120,27","12,01","12,01","-19,33","-17,94","-16,01","-19,33","-18,45","-9,58","-3,87","-3,36","120,27","36,56","39,90","11,96","1,90","45,63","-0,60","-1,02","-2,42","-3,11"
2025-06-09,14-15,"25,00","7,30","7,30","-9,70","-15,54","-14,99","-15,76","-15,66","-11,11","-5,09","-3,35","25,00","44,81","46,24","14,92","2,97","45,66","-0,05","-0,55","-2,23","-3,07"
2025-06-09,15-16,"13,71","5,51","5,51","-9,30","-3,92","-3,21","-4,50","-4,16","-1,60","-4,01","-1,41","13,71","45,87","47,26","16,10","4,78","46,72","1,83","1,34","-0,32","-1,13"
2025-06-09,16-17,"8,46","3,51","3,51","4,00","-0,54","-0,03","-1,00","-0,85","-4,01","-1,00","0,09","8,46","51,22","54,94","18,74","6,46","47,73","3,25","2,72","1,09","0,35"
2025-06-09,17-18,"6,00","6,00","6,00","2,48","4,64","7,64","0,09","2,16","32,96","0,09","5,61","9,79","58,92","63,94","18,70","4,61","46,95","4,89","4,91","5,26","5,53"
2025-06-09,18-19,"70,80","70,80","70,80","62,41","64,45","19,09","69,54","65,85","102,95","69,54","60,24","67,00","58,89","64,08","20,00","4,59","46,92","6,34","6,77","34,19","60,25"
2025-06-09,19-20,"53,24","53,24","53,24","100,10","107,59","30,36","117,79","111,28","129,96","112,99","115,69","20,00","60,71","68,27","18,51","8,19","47,07","6,36","6,24","37,01","68,56"
2025-06-09,20-21,"70,01","70,01","70,01","108,95","130,04","33,84","141,40","134,27","194,38","141,40","141,41","5,31","62,77","71,44","20,99","8,21","47,59","5,42","5,07","37,75","71,76"
2025-06-09,21-22,"72,45","72,45","72,45","135,00","142,70","35,49","148,42","146,69","153,17","148,42","148,43","4,92","64,36","73,50","24,38","9,07","47,48","5,07","4,47","38,27","74,45"
2025-06-09,22-23,"63,73","63,73","63,73","121,92","127,95","60,99","126,52","130,00","126,07","126,52","126,53","2,31","63,93","72,86","20,01","6,59","47,14","3,47","3,09","37,52","73,44"
2025-06-09,23-00,"79,94","79,94","79,94","103,63","93,71","40,00","101,19","96,12","103,02","101,19","101,20","0,90","63,75","73,01","22,40","6,59","46,88","2,41","1,73","37,37","74,14"
