Date,Hour,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-01-25,00-01,"2,86","2,86","2,86","118,05","57,91","57,03","59,04","57,36","76,01","16,92","16,92","2,79","30,45","30,04","4,55","2,70","29,22","2,80","2,82","2,82","2,87"
2025-01-25,01-02,"2,26","2,26","2,26","109,93","64,90","35,00","64,96","77,87","78,19","21,22","21,90","2,32","27,41","28,10","3,98","2,34","28,73","2,32","2,33","2,23","2,25"
2025-01-25,02-03,"1,26","1,26","1,26","98,00","69,40","25,20","63,55","92,00","77,12","19,89","38,74","1,26","27,36","28,06","4,45","2,28","28,28","1,51","1,36","1,02","0,95"
2025-01-25,03-04,"1,01","1,01","1,01","89,40","73,76","19,71","67,17","105,19","76,54","27,26","27,26","1,01","27,34","28,04","4,57","2,24","28,17","1,31","1,14","0,74","0,65"
2025-01-25,04-05,"0,97","0,97","0,97","94,24","59,70","16,80","76,77","66,81","82,41","24,59","24,59","0,97","27,74","28,45","4,74","2,27","28,55","1,29","1,10","0,68","0,57"
2025-01-25,05-06,"0,74","0,74","0,74","107,00","60,09","17,72","76,89","67,06","86,62","21,21","21,21","0,74","28,46","29,20","4,94","2,19","29,22","1,10","0,90","0,41","0,30"
2025-01-25,06-07,"1,25","1,25","1,25","118,05","64,70","25,00","79,32","70,62","89,49","29,80","29,80","1,25","30,86","30,50","4,94","2,26","29,25","1,49","1,35","1,04","0,99"
2025-01-25,07-08,"2,22","2,22","2,22","141,70","69,20","49,29","76,89","72,06","94,77","47,14","47,14","2,22","31,54","30,85","4,18","2,50","29,58","2,22","2,16","2,13","2,17"
2025-01-25,08-09,"2,91","2,91","2,91","120,10","81,16","55,54","88,99","85,02","98,61","59,90","73,59","2,79","32,87","32,13","4,86","2,60","30,87","2,79","2,84","2,85","2,93"
2025-01-25,09-10,"4,99","4,99","4,99","118,02","83,98","73,40","87,31","85,55","96,95","66,64","87,31","3,07","33,06","32,26","4,64","2,66","31,10","3,07","3,17","3,28","3,38"
2025-01-25,10-11,"16,64","16,64","16,64","104,48","80,40","60,73","86,32","83,36","90,64","79,17","86,32","2,91","33,12","32,31","4,33","2,83","31,11","2,91","2,93","10,09","16,66"
2025-01-25,11-12,"29,78","29,78","29,78","89,69","83,50","63,25","88,15","87,73","88,68","72,27","88,15","2,75","33,10","32,31","4,44","2,68","31,10","2,74","2,77","16,84","29,77"
2025-01-25,12-13,"32,62","32,62","32,62","91,01","80,00","70,17","82,55","81,82","84,64","81,82","82,55","2,95","32,96","32,17","4,60","2,58","31,00","2,95","3,06","18,66","32,62"
2025-01-25,13-14,"33,31","33,31","33,31","89,26","81,01","76,09","81,98","81,98","83,70","81,98","81,98","2,61","32,91","32,24","5,52","2,64","30,95","2,61","2,63","18,35","33,26"
2025-01-25,14-15,"33,10","33,10","33,10","102,92","81,15","55,16","89,00","85,09","93,40","85,09","89,00","2,51","32,91","32,19","4,92","2,76","30,92","2,60","2,57","18,31","33,06"
2025-01-25,15-16,"38,93","38,93","38,93","117,95","95,78","45,09","111,07","103,54","111,83","103,54","111,07","2,16","33,32","32,67","5,32","2,83","31,30","2,36","2,26","18,36","33,90"
2025-01-25,16-17,"68,30","68,30","68,30","145,38","115,04","53,77","132,97","124,11","132,28","124,11","132,97","2,29","34,41","33,83","6,17","2,93","32,35","2,30","2,18","19,08","35,45"
2025-01-25,17-18,"37,65","37,65","37,65","152,96","134,60","85,21","145,85","138,60","145,59","138,60","145,85","2,00","35,04","34,70","7,43","2,90","32,95","2,02","1,71","19,99","37,47"
2025-01-25,18-19,"35,12","35,12","35,12","155,47","144,96","118,32","151,00","147,10","150,63","147,10","151,00","2,27","34,46","33,79","5,37","2,74","32,37","2,27","2,18","18,90","35,05"
2025-01-25,19-20,"33,67","33,67","33,67","152,84","142,63","120,74","147,53","144,35","146,58","144,35","144,35","1,94","33,28","32,58","4,62","2,50","31,24","2,09","2,02","18,23","33,62"
2025-01-25,20-21,"25,08","25,08","25,08","144,99","126,30","96,37","137,60","130,75","136,59","130,75","130,75","1,99","32,96","32,12","3,21","2,03","30,90","2,00","1,99","14,13","25,09"
2025-01-25,21-22,"5,09","5,09","5,09","141,87","121,63","87,38","134,61","126,75","128,57","126,75","126,75","1,76","32,03","32,01","3,19","1,86","30,16","1,76","1,73","3,50","5,12"
2025-01-25,22-23,"1,40","1,40","1,40","137,08","119,52","86,50","132,26","124,50","128,16","124,50","124,50","1,40","32,26","31,91","4,13","1,98","30,30","1,53","1,43","1,34","1,39"
2025-01-25,23-00,"1,05","1,05","1,05","125,10","110,45","81,06","122,03","114,99","122,60","114,99","114,99","0,26","31,67","32,21","4,10","1,30","29,81","0,52","0,36","0,05","0,00"
