Date,Hour,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-08-26,00-01,"103,15","103,15","103,15","104,68","98,52","94,83","105,80","104,56","105,59","105,80","105,80","7,17","103,15","103,15","2,64","2,78","87,55","7,17","7,17","54,82","103,15"
2025-08-26,01-02,"97,76","97,76","97,76","101,66","95,67","86,78","100,44","96,93","100,98","100,44","100,44","7,52","96,74","96,74","2,47","2,64","81,41","7,48","7,47","53,44","97,66"
2025-08-26,02-03,"94,17","94,17","94,17","99,04","87,79","70,37","96,58","86,00","97,65","96,58","96,58","7,64","94,17","94,17","2,42","2,58","79,19","7,64","7,64","52,33","94,17"
2025-08-26,03-04,"92,04","92,04","92,04","97,68","84,16","63,58","94,79","80,62","96,06","94,79","94,79","8,04","92,04","92,04","2,34","2,52","77,45","8,04","8,04","51,41","92,04"
2025-08-26,04-05,"93,96","93,96","93,96","99,89","83,61","58,35","96,27","82,58","97,84","96,27","96,27","11,79","93,96","93,96","2,35","2,64","79,06","11,79","11,79","54,25","93,96"
2025-08-26,05-06,"105,78","105,78","105,78","102,17","78,51","66,86","106,60","94,25","105,78","106,60","106,60","71,12","96,47","96,47","2,36","3,31","81,69","14,97","15,11","56,22","96,46"
2025-08-26,06-07,"127,87","127,87","127,87","119,29","93,45","86,97","124,59","92,00","123,76","124,59","119,37","134,60","95,36","95,35","8,22","1,19","80,47","30,29","9,57","127,64","121,36"
2025-08-26,07-08,"236,71","236,71","236,71","120,00","101,94","95,44","123,45","106,20","123,14","123,45","128,33","236,72","99,59","99,56","8,28","2,43","82,06","57,45","15,79","149,97","131,07"
2025-08-26,08-09,"150,03","146,71","146,71","105,85","100,40","97,48","106,79","104,62","106,73","106,79","107,23","150,03","95,88","95,86","4,59","3,80","78,37","78,43","62,81","115,73","108,31"
2025-08-26,09-10,"113,38","113,38","113,38","90,00","90,00","90,00","90,00","90,00","90,00","90,00","94,15","113,38","89,05","89,05","4,30","5,19","72,71","81,26","74,26","98,04","94,64"
2025-08-26,10-11,"93,22","93,22","93,22","65,00","77,45","70,00","77,47","77,80","80,94","80,54","82,31","93,22","85,00","85,00","4,91","3,65","69,54","72,77","71,20","84,58","82,59"
2025-08-26,11-12,"76,52","76,52","76,52","57,30","61,11","60,65","61,60","61,35","71,04","64,04","68,12","76,52","82,87","82,87","4,09","5,17","67,71","62,49","59,46","69,92","68,34"
2025-08-26,12-13,"61,41","61,41","61,41","38,76","41,59","41,25","41,95","41,75","65,00","50,00","53,87","61,41","78,27","78,27","4,09","3,38","63,90","53,50","53,90","53,91","53,88"
2025-08-26,13-14,"57,88","57,88","57,88","26,28","26,28","26,28","26,28","26,28","70,99","36,59","42,49","57,88","78,22","78,22","8,45","2,40","64,65","38,86","42,64","42,60","42,50"
2025-08-26,14-15,"70,25","70,25","70,25","38,05","38,05","38,05","38,05","38,05","66,65","50,08","70,25","70,25","78,83","78,83","3,52","5,31","64,11","70,25","70,25","70,25","70,25"
2025-08-26,15-16,"82,76","82,76","82,76","73,76","69,19","47,44","72,39","70,10","81,69","72,39","82,76","82,76","82,76","82,76","2,75","5,01","67,02","82,76","82,76","82,76","82,76"
2025-08-26,16-17,"98,80","98,80","98,80","90,57","80,00","60,00","88,26","83,82","96,58","88,26","92,89","98,80","92,82","92,82","3,25","3,02","75,64","91,39","92,97","92,94","92,90"
2025-08-26,17-18,"118,90","118,90","118,90","105,46","93,33","65,03","105,05","98,44","106,84","105,05","102,67","118,91","96,83","96,83","4,31","1,77","79,65","84,02","80,54","107,42","103,23"
2025-08-26,18-19,"135,98","135,98","135,98","120,10","94,30","76,10","131,09","116,03","132,99","131,09","131,09","135,98","93,94","104,03","3,80","1,73","78,52","122,77","126,36","132,12","131,20"
2025-08-26,19-20,"194,69","194,69","194,69","184,92","122,00","103,14","196,88","152,52","194,69","196,88","194,69","194,69","109,00","124,01","2,33","7,67","92,58","194,69","194,69","194,69","194,69"
2025-08-26,20-21,"199,46","199,46","199,46","177,36","138,00","117,00","180,17","170,01","199,46","180,17","182,36","182,36","180,04","162,93","2,40","7,57","84,16","182,36","182,36","182,36","182,36"
2025-08-26,21-22,"128,15","128,15","128,15","124,37","123,37","123,46","123,30","123,30","128,15","123,30","126,33","126,33","115,18","118,71","2,45","5,96","97,08","126,33","126,33","126,33","126,33"
2025-08-26,22-23,"110,13","110,13","110,13","109,65","109,48","109,50","109,47","109,47","110,13","109,47","106,84","106,84","104,36","105,13","2,41","5,49","87,39","106,84","106,84","106,84","106,84"
2025-08-26,23-00,"99,94","99,94","99,94","99,08","97,79","97,90","97,67","97,67","102,63","97,67","97,27","95,33","95,33","95,33","2,39","5,09","80,75","95,33","95,33","95,33","95,33"
