Date,Hour,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-08-31,00-01,"88,53","88,53","88,53","80,60","44,91","15,86","88,74","83,60","105,45","85,46","88,74","26,00","74,43","84,55","14,54","1,49","55,85","20,39","19,93","54,37","87,94"
2025-08-31,01-02,"78,47","78,47","78,47","71,47","39,27","12,93","78,91","72,91","103,38","78,91","78,91","36,07","70,17","77,41","14,48","1,49","54,73","22,96","22,10","50,90","78,10"
2025-08-31,02-03,"70,15","70,15","70,15","63,96","35,55","12,33","70,53","64,70","103,11","67,72","70,53","33,39","62,96","66,86","15,33","1,49","54,29","22,92","21,90","46,51","69,79"
2025-08-31,03-04,"66,62","66,62","66,62","60,32","31,34","7,61","67,02","60,33","97,48","64,09","67,03","39,95","59,61","62,31","15,29","1,66","53,76","22,27","21,22","44,01","66,22"
2025-08-31,04-05,"63,30","63,30","63,30","57,26","29,04","5,95","63,79","58,49","94,56","60,93","62,98","44,44","56,42","57,91","15,95","1,69","53,15","25,13","24,04","43,74","62,94"
2025-08-31,05-06,"66,17","66,17","66,17","69,93","47,14","8,12","64,56","54,87","103,38","60,79","62,99","50,00","54,45","56,40","20,72","1,50","52,23","24,06","22,38","42,22","62,94"
2025-08-31,06-07,"66,76","66,76","66,76","70,51","48,05","9,18","65,00","56,06","103,38","61,12","63,27","57,60","55,24","57,07","19,99","1,50","52,48","29,23","27,74","45,14","63,23"
2025-08-31,07-08,"63,58","63,58","63,58","67,09","48,14","16,24","62,13","54,28","97,48","54,52","53,73","64,60","51,05","51,60","20,00","1,66","47,91","47,94","46,39","49,95","53,71"
2025-08-31,08-09,"99,07","99,07","99,07","22,31","22,25","22,15","22,30","22,27","105,92","22,30","23,09","99,07","21,16","21,59","13,70","2,52","20,66","25,06","23,76","23,36","23,11"
2025-08-31,09-10,"91,31","91,31","91,31","5,38","4,78","3,60","5,20","5,22","100,76","5,20","13,44","91,31","12,35","12,59","8,13","2,71","12,02","14,54","13,81","13,59","13,44"
2025-08-31,10-11,"86,21","86,21","86,21","0,01","0,03","0,00","-0,01","0,13","86,03","1,94","6,78","86,21","7,68","7,90","7,30","2,83","11,88","13,23","6,80","6,77","6,78"
2025-08-31,11-12,"78,45","78,45","78,45","-0,02","0,01","-0,01","-0,02","0,09","59,35","1,64","7,44","78,45","9,05","10,00","8,69","2,92","16,20","12,39","7,45","7,42","7,44"
2025-08-31,12-13,"91,38","91,38","91,38","-0,11","-0,07","-0,08","-0,11","0,03","27,37","1,83","5,35","91,38","6,96","8,00","7,88","2,87","12,56","11,51","5,20","5,28","5,34"
2025-08-31,13-14,"99,98","99,98","99,98","-1,00","-0,93","-0,95","-1,00","-0,81","56,43","1,66","6,49","99,98","8,65","8,00","9,79","2,98","16,05","10,54","6,31","6,41","6,48"
2025-08-31,14-15,"100,95","100,95","100,95","-0,61","-0,60","-0,60","-0,61","-0,57","69,78","0,00","10,75","100,95","11,93","11,98","10,74","3,35","11,88","11,37","10,82","10,75","10,75"
2025-08-31,15-16,"95,28","95,28","95,28","0,00","0,00","-0,01","0,00","0,00","86,94","0,00","10,00","95,28","46,33","47,55","12,43","3,33","43,41","12,48","11,51","10,39","10,07"
2025-08-31,16-17,"95,01","95,01","95,01","27,60","18,78","4,22","25,47","21,98","103,14","25,47","32,69","95,01","56,09","52,01","9,32","3,33","47,92","21,70","25,88","30,54","32,36"
2025-08-31,17-18,"137,90","137,90","137,90","86,89","56,39","4,96","79,74","68,20","160,96","79,74","74,90","137,90","71,26","76,20","13,00","2,84","55,45","41,77","40,92","57,93","74,93"
2025-08-31,18-19,"155,30","155,30","155,30","111,77","65,59","17,53","117,59","103,75","122,53","116,36","115,48","155,30","73,71","80,55","19,48","2,62","59,03","35,28","32,93","70,67","115,09"
2025-08-31,19-20,"146,86","146,86","146,86","127,25","82,08","47,15","135,10","129,18","146,86","135,10","134,80","146,86","77,11","84,49","21,60","2,55","65,97","19,54","17,00","71,82","134,26"
2025-08-31,20-21,"141,71","141,71","141,71","125,60","88,16","59,55","132,07","126,37","141,71","131,39","132,06","141,71","84,15","96,92","18,02","2,58","62,73","14,61","13,49","69,61","131,76"
2025-08-31,21-22,"141,31","141,31","141,31","110,53","89,81","73,88","114,15","110,84","119,51","114,15","114,15","141,31","84,13","97,02","21,88","2,55","62,40","9,32","7,17","59,63","114,12"
2025-08-31,22-23,"106,17","106,17","106,17","100,08","83,82","71,40","102,63","100,86","106,17","100,86","100,46","106,17","81,62","92,21","20,74","2,55","65,14","5,86","4,19","51,96","100,15"
2025-08-31,23-00,"96,06","96,06","96,06","88,38","73,18","62,00","89,76","88,26","96,06","88,80","89,76","96,06","74,49","83,64","19,46","2,55","60,41","5,99","4,52","47,51","89,89"
