Date,Hour,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-06-27,00-01,"64,01","64,01","64,01","93,41","86,17","87,72","84,50","85,41","120,87","79,09","79,09","49,97","58,45","71,63","2,90","5,38","27,24","4,65","4,65","36,51","63,89"
2025-06-27,01-02,"61,79","61,79","61,79","82,40","85,58","85,58","78,83","89,24","103,16","65,20","65,21","44,63","56,86","68,67","2,54","2,54","27,49","4,74","4,82","35,58","61,70"
2025-06-27,02-03,"57,67","57,67","57,67","82,47","87,22","85,15","75,67","96,05","102,06","58,95","58,95","49,09","53,27","64,17","2,37","1,56","26,53","5,03","5,15","33,55","57,60"
2025-06-27,03-04,"49,98","53,88","53,88","84,13","86,36","86,03","80,41","90,10","92,24","54,97","54,97","49,98","49,29","60,09","3,98","1,48","25,42","5,15","5,29","31,46","53,78"
2025-06-27,04-05,"48,95","48,95","48,95","86,37","83,19","82,39","82,39","83,19","82,39","50,54","49,39","48,95","45,46","54,92","4,54","1,04","25,10","5,59","5,73","29,33","49,43"
2025-06-27,05-06,"50,10","50,10","50,10","88,03","89,48","89,38","88,90","89,24","92,24","49,45","49,45","50,10","46,00","54,98","3,99","1,03","25,54","6,28","6,44","29,14","49,48"
2025-06-27,06-07,"54,96","54,96","54,96","102,73","105,04","97,99","105,58","105,54","117,68","57,27","57,27","54,96","50,79","62,42","3,99","1,10","26,00","7,41","7,60","32,59","54,69"
2025-06-27,07-08,"69,42","69,42","69,42","113,20","113,20","113,20","113,20","113,20","113,20","63,19","63,19","69,42","54,00","65,87","3,21","6,30","28,19","9,55","9,62","35,02","57,15"
2025-06-27,08-09,"69,99","69,99","69,99","107,70","107,70","107,70","107,70","107,70","107,70","63,81","63,80","69,99","56,99","66,70","2,36","3,38","28,92","38,55","39,04","45,06","48,30"
2025-06-27,09-10,"86,95","86,95","86,95","91,26","93,89","92,91","90,94","98,42","91,04","4,07","85,13","86,95","56,20","64,89","2,35","7,13","28,53","40,23","40,68","44,92","46,46"
2025-06-27,10-11,"79,14","79,14","79,14","79,29","80,20","79,56","79,12","81,25","79,14","4,02","46,17","79,14","55,14","62,96","2,35","5,95","27,87","31,00","39,76","43,93","45,52"
2025-06-27,11-12,"68,90","68,90","68,90","67,45","67,45","67,45","67,45","67,45","67,45","9,99","39,74","68,90","47,75","52,58","2,36","4,86","28,13","23,20","34,26","37,84","39,21"
2025-06-27,12-13,"65,86","65,86","65,86","54,83","54,57","54,60","54,53","54,55","54,03","4,28","26,27","65,86","47,33","49,39","2,36","0,94","24,08","11,65","14,16","21,94","24,87"
2025-06-27,13-14,"70,33","70,33","70,33","51,76","34,15","35,30","28,30","28,30","16,05","3,18","7,02","70,33","13,95","14,49","2,36","0,94","9,96","6,26","6,38","6,79","6,95"
2025-06-27,14-15,"69,48","69,48","69,48","46,38","20,91","20,96","7,87","5,30","3,33","3,15","4,26","69,48","23,46","24,42","2,37","1,03","17,12","4,02","4,11","4,17","4,24"
2025-06-27,15-16,"69,99","69,99","69,99","70,05","14,45","19,70","9,88","11,55","10,86","2,38","4,19","69,99","30,95","32,25","2,28","0,85","22,06","4,00","4,08","4,10","4,17"
2025-06-27,16-17,"68,89","68,89","68,89","85,49","32,15","36,78","29,92","30,00","44,57","4,01","4,18","68,89","44,46","48,49","0,57","2,91","28,32","3,62","3,77","3,96","4,13"
2025-06-27,17-18,"70,00","70,00","70,00","96,92","71,58","71,87","70,68","70,68","78,35","5,75","4,17","70,00","44,42","52,73","2,25","4,40","24,50","3,90","3,79","3,69","3,75"
2025-06-27,18-19,"69,99","69,99","69,99","100,00","91,74","88,27","91,73","91,63","100,36","29,69","8,37","69,99","27,98","60,22","1,50","3,83","22,05","3,81","3,80","3,90","3,99"
2025-06-27,19-20,"78,57","78,57","78,57","100,62","108,15","109,29","107,15","107,67","107,25","69,43","69,43","78,57","50,75","63,17","0,85","3,30","22,91","4,23","4,43","4,64","4,84"
2025-06-27,20-21,"45,41","45,41","45,41","103,91","119,84","116,83","124,86","124,48","137,04","114,01","114,01","45,41","14,18","63,58","0,97","2,34","19,76","4,52","4,95","5,50","5,73"
2025-06-27,21-22,"31,24","31,24","31,24","129,04","134,90","134,94","134,94","135,05","135,80","122,40","122,40","31,24","14,61","63,56","0,68","3,27","21,11","4,48","4,70","10,00","14,14"
2025-06-27,22-23,"21,69","21,69","21,69","124,72","124,90","125,71","126,24","121,86","126,07","119,08","119,08","21,69","21,39","63,84","0,73","3,81","19,98","4,17","4,23","13,93","21,75"
2025-06-27,23-00,"9,98","9,98","9,98","104,96","107,75","107,86","107,70","107,62","109,87","100,20","100,20","9,98","11,94","65,30","0,71","3,53","19,05","4,10","4,18","7,50","10,07"
