Date,Hour,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-04-10,00-01,"8,19","27,64","27,64","100,27","79,88","33,68","92,90","85,00","94,75","92,90","92,89","4,19","45,98","47,18","11,32","1,40","37,55","3,45","0,17","21,30","30,17"
2025-04-10,01-02,"8,19","27,61","27,61","95,03","81,50","28,46","89,55","83,95","91,00","89,55","89,52","5,23","44,35","47,14","17,80","1,35","37,56","5,26","2,07","21,72","29,95"
2025-04-10,02-03,"8,19","28,51","28,51","94,50","82,47","25,83","88,90","83,95","90,53","88,90","88,86","7,78","45,73","47,29","9,99","1,35","37,58","6,17","2,93","22,59","30,84"
2025-04-10,03-04,"8,19","29,60","29,60","93,83","81,08","21,30","87,92","82,64","89,78","87,92","87,89","8,01","46,96","48,87","9,92","1,35","38,11","7,07","3,63","23,58","31,96"
2025-04-10,04-05,"11,20","22,08","22,08","97,21","79,00","18,36","90,00","82,24","91,97","90,00","90,00","11,20","50,14","49,76","5,06","1,33","40,86","8,84","8,85","31,29","54,95"
2025-04-10,05-06,"50,05","92,02","92,02","104,97","82,14","29,34","97,54","87,82","99,99","97,54","97,54","43,78","51,11","51,24","5,10","1,31","41,68","43,77","44,09","50,53","58,84"
2025-04-10,06-07,"129,37","129,37","129,37","140,19","110,00","41,42","132,44","115,69","139,05","132,44","129,17","129,99","62,66","59,69","3,03","1,28","50,18","129,99","130,11","129,44","129,26"
2025-04-10,07-08,"174,97","174,97","174,97","174,90","140,08","45,56","170,59","149,04","173,14","170,59","173,87","180,62","155,39","152,43","3,09","1,30","125,64","180,61","181,48","176,60","174,36"
2025-04-10,08-09,"136,58","136,58","136,58","137,75","129,26","72,07","135,44","130,59","136,58","135,44","135,89","140,80","122,41","120,26","9,91","1,22","100,69","140,80","141,42","137,88","136,24"
2025-04-10,09-10,"90,49","90,49","90,49","104,29","98,73","64,44","102,40","99,43","103,19","102,40","101,98","126,05","63,23","62,78","13,52","1,08","53,75","34,57","43,96","87,19","87,42"
2025-04-10,10-11,"44,16","44,16","44,16","88,05","87,99","28,04","85,71","85,71","87,32","85,71","85,71","80,00","50,15","51,01","28,15","1,06","47,22","15,25","15,66","39,92","45,03"
2025-04-10,11-12,"30,15","30,15","30,15","70,36","61,48","15,33","66,34","62,59","67,94","66,34","66,31","59,50","47,48","48,67","20,18","1,09","43,40","7,11","4,08","23,90","32,41"
2025-04-10,12-13,"27,92","27,92","27,92","40,28","34,48","0,00","34,95","27,02","34,47","34,95","32,59","44,94","45,14","46,28","19,04","1,09","41,23","6,43","3,49","22,70","30,90"
2025-04-10,13-14,"4,94","4,94","4,94","2,55","2,18","0,00","2,18","1,67","2,07","2,18","5,65","19,96","32,71","32,25","6,79","1,26","29,88","3,70","3,47","4,92","5,52"
2025-04-10,14-15,"3,44","3,44","3,44","0,09","0,07","-0,01","0,08","0,06","0,08","0,08","1,59","3,50","22,55","23,02","10,90","1,16","20,83","2,69","2,81","2,01","1,66"
2025-04-10,15-16,"7,08","7,08","7,08","2,34","1,00","-0,01","1,18","1,00","1,57","1,18","8,48","7,08","21,93","21,38","3,20","1,09","20,07","3,96","3,48","6,80","8,16"
2025-04-10,16-17,"8,68","8,68","8,68","65,47","44,83","0,00","54,44","44,83","55,20","4,29","40,57","8,68","38,52","38,76","11,29","1,08","35,21","5,46","3,16","18,74","24,99"
2025-04-10,17-18,"42,15","42,15","42,15","80,87","63,42","10,28","70,00","64,89","94,90","16,11","31,54","10,15","43,81","44,87","18,23","1,08","40,07","6,34","3,60","22,27","29,74"
2025-04-10,18-19,"108,41","108,41","108,41","106,80","86,76","37,46","101,68","92,13","113,16","33,01","31,57","10,19","43,36","44,88","20,71","1,09","40,71","6,37","3,69","22,30","29,77"
2025-04-10,19-20,"227,52","227,52","227,52","157,10","127,73","51,96","140,42","132,00","179,43","47,98","30,73","10,10","42,41","43,77","18,62","1,10","39,57","6,35","3,62","21,66","29,13"
2025-04-10,20-21,"227,59","227,59","227,59","160,09","129,98","52,01","137,17","132,31","206,05","22,71","28,56","9,14","39,30","40,49","18,67","1,12","37,03","5,61","3,04","20,09","27,06"
2025-04-10,21-22,"138,98","138,98","138,98","118,05","93,69","50,82","97,56","94,70","138,98","20,01","27,47","8,87","37,94","39,10","17,90","1,23","35,71","5,08","2,54","19,24","26,00"
2025-04-10,22-23,"98,11","98,11","98,11","102,89","87,30","44,83","92,05","88,45","98,11","20,37","25,38","7,95","35,20","36,28","15,43","1,19","33,15","4,45","2,03","17,70","24,00"
2025-04-10,23-00,"22,08","22,08","22,08","85,76","79,22","40,60","81,11","87,13","87,77","21,79","18,70","6,15","25,76","26,53","11,51","1,14","24,33","3,65","1,89","13,17","17,71"
