Date,Hour,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-09-26,00-01,"127,76","127,76","127,76","78,48","78,48","78,48","78,48","78,48","78,48","78,48","76,10","23,78","64,00","71,49","12,66","2,10","56,98","5,70","5,29","49,80","70,57"
2025-09-26,01-02,"75,08","75,08","75,08","75,24","74,25","72,30","75,00","74,58","75,08","75,00","74,98","20,98","63,80","69,41","13,26","1,78","56,21","5,74","4,99","47,77","70,22"
2025-09-26,02-03,"36,92","73,18","73,18","73,18","73,21","72,87","73,17","73,18","73,18","73,17","73,08","25,99","63,95","68,83","12,27","1,77","55,90","5,81","5,69","42,16","50,47"
2025-09-26,03-04,"40,01","73,20","73,20","73,28","73,52","69,45","73,18","73,18","73,20","73,18","73,12","35,60","63,72","68,75","10,25","1,81","55,32","5,90","7,05","52,61","61,05"
2025-09-26,04-05,"75,12","75,12","75,12","75,51","74,05","64,85","74,93","74,15","75,12","74,93","74,88","45,64","63,31","69,24","7,47","1,97","54,76","6,00","7,56","63,81","73,00"
2025-09-26,05-06,"234,83","234,83","234,83","82,88","79,32","72,13","82,00","80,52","86,32","79,73","80,00","51,73","62,67","71,72","7,31","2,10","55,27","5,95","10,08","69,88","79,54"
2025-09-26,06-07,"289,99","289,99","289,99","109,71","98,80","91,76","107,74","102,01","106,61","90,77","104,87","76,64","61,42","74,95","4,10","3,30","55,17","6,48","14,76","96,42","105,83"
2025-09-26,07-08,"173,16","173,16","173,16","120,90","114,94","110,40","120,33","117,10","120,32","117,10","125,25","91,29","72,62","88,22","2,10","3,41","64,30","6,72","15,97","115,20","126,54"
2025-09-26,08-09,"118,93","118,93","118,93","126,13","123,56","123,28","123,56","123,56","118,93","123,56","124,68","101,40","89,91","92,79","39,85","1,00","82,53","6,79","49,72","117,80","125,83"
2025-09-26,09-10,"109,60","109,60","109,60","120,92","112,67","108,80","110,41","111,45","92,64","103,73","109,32","107,61","106,77","106,98","103,09","1,02","106,26","7,06","103,82","108,81","109,41"
2025-09-26,10-11,"87,70","87,70","87,70","108,99","90,48","88,59","89,84","89,90","45,11","61,35","88,50","89,69","86,97","87,02","86,12","1,04","86,85","8,37","86,29","87,46","87,68"
2025-09-26,11-12,"82,90","82,90","82,90","106,82","86,02","83,86","85,36","85,28","38,71","6,70","82,69","82,90","79,77","79,98","76,12","1,04","79,20","9,11","76,84","81,88","82,71"
2025-09-26,12-13,"75,01","75,01","75,01","105,00","80,40","79,47","78,96","79,25","19,39","4,10","75,01","75,01","75,01","75,01","75,01","1,06","75,01","9,53","75,01","75,01","75,01"
2025-09-26,13-14,"69,51","69,51","69,51","102,59","75,18","76,09","73,16","73,59","25,18","5,40","69,99","69,51","69,50","69,50","69,51","1,06","69,50","9,67","69,51","69,51","69,51"
2025-09-26,14-15,"68,97","68,97","68,97","100,69","75,32","71,90","75,05","74,71","34,19","4,40","71,89","68,97","68,96","68,96","68,96","1,06","68,96","9,01","68,96","68,96","69,02"
2025-09-26,15-16,"75,88","75,88","75,88","105,00","74,76","48,35","79,99","84,13","66,32","6,84","75,17","75,88","68,64","69,53","59,33","1,08","66,51","9,10","61,19","73,84","75,39"
2025-09-26,16-17,"100,00","100,00","100,00","103,94","90,58","66,26","98,81","93,84","100,00","6,70","95,51","95,92","69,58","72,59","32,91","1,08","62,69","9,49","40,10","90,37","96,37"
2025-09-26,17-18,"165,00","165,00","165,00","113,03","99,89","73,36","109,80","103,62","110,87","39,36","105,74","76,14","67,10","70,00","20,66","2,09","59,48","20,54","13,34","96,72","106,65"
2025-09-26,18-19,"190,00","190,00","190,00","123,39","109,01","94,08","123,65","120,56","124,61","86,30","121,16","80,80","65,92","79,53","12,18","2,09","60,29","18,58","10,64","103,49","118,23"
2025-09-26,19-20,"250,03","250,03","250,03","131,96","129,76","123,60","133,02","132,79","133,00","104,74","126,11","77,40","60,97","85,77","12,71","2,09","61,31","16,45","8,90","99,81","114,35"
2025-09-26,20-21,"139,70","139,70","139,70","119,61","119,61","119,61","119,61","119,61","119,61","94,80","117,14","70,22","71,97","75,28","14,43","2,10","57,98","17,05","10,29","93,85","105,69"
2025-09-26,21-22,"158,21","158,21","158,21","106,21","106,21","106,21","106,21","106,21","106,21","80,00","94,25","52,91","67,00","73,36","15,00","2,10","57,68","16,18","11,34","72,04","81,53"
2025-09-26,22-23,"96,90","96,90","96,90","96,90","96,90","96,90","96,90","96,90","98,56","76,40","91,09","30,87","51,66","71,24","20,45","1,72","53,93","15,08","13,20","42,93","49,61"
2025-09-26,23-00,"20,78","89,90","89,90","89,90","89,90","89,90","89,90","89,90","89,90","79,78","88,70","18,93","56,08","69,59","20,83","1,63","55,06","11,20","10,41","30,82","37,35"
