Date,Hour,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-06-04,00-01,"62,46","62,46","62,46","83,46","70,01","28,83","74,95","71,27","107,46","71,27","16,09","2,99","47,43","66,92","5,70","-18,58","45,12","-1,33","1,19","10,16","14,96"
2025-06-04,01-02,"9,40","9,40","9,40","75,10","61,07","10,15","67,25","62,77","100,27","62,77","13,70","2,29","43,42","63,31","4,24","-18,11","40,51","-2,87","-0,15","8,20","12,67"
2025-06-04,02-03,"8,17","8,17","8,17","71,36","59,32","14,08","64,78","60,93","101,68","60,93","11,51","1,58","37,38","61,36","3,10","-16,29","35,04","-2,94","-0,57","6,73","10,58"
2025-06-04,03-04,"17,39","17,39","17,39","71,27","59,78","16,25","65,00","61,32","100,27","59,40","10,54","1,32","34,56","59,98","3,20","-15,15","32,46","-2,83","-0,68","6,10","9,65"
2025-06-04,04-05,"25,03","25,03","25,03","75,42","62,36","13,02","68,32","64,11","97,93","60,52","10,79","1,52","34,59","59,94","3,56","-15,01","32,94","-2,59","-0,48","6,32","9,96"
2025-06-04,05-06,"81,84","81,84","81,84","81,41","72,90","10,50","80,32","75,17","90,23","59,60","10,51","3,18","29,14","64,93","8,98","-9,97","28,51","0,06","1,60","7,02","9,79"
2025-06-04,06-07,"102,25","102,25","102,25","86,18","100,74","23,83","99,77","108,32","107,73","92,75","51,74","6,01","46,98","66,98","8,47","1,52","47,99","0,62","0,53","26,76","51,93"
2025-06-04,07-08,"113,57","113,57","113,57","110,87","112,66","3,00","113,74","115,78","113,57","99,09","91,97","113,57","74,00","76,64","23,98","6,04","49,33","2,66","2,01","43,54","84,20"
2025-06-04,08-09,"58,26","58,26","58,26","95,00","118,30","48,72","112,40","112,40","105,61","112,40","112,40","58,26","72,34","74,53","19,69","5,55","49,46","2,74","2,29","41,31","80,76"
2025-06-04,09-10,"2,98","7,30","7,30","61,06","137,80","33,02","79,08","102,95","65,26","79,08","79,08","2,98","48,20","68,87","13,39","4,32","49,31","2,56","2,29","27,98","53,63"
2025-06-04,10-11,"3,12","3,12","3,12","2,01","72,40","32,35","72,40","70,68","-2,35","70,68","72,40","3,12","48,55","61,71","20,46","-2,60","47,86","1,58","2,39","21,96","39,79"
2025-06-04,11-12,"1,71","5,50","5,50","-4,91","45,00","4,83","48,36","45,00","-15,97","44,84","48,35","1,71","38,50","55,31","6,70","0,87","38,73","1,57","1,74","3,89","5,75"
2025-06-04,12-13,"0,68","2,73","2,73","2,97","20,34","19,21","20,12","19,96","-1,23","20,12","20,11","0,68","45,96","44,98","5,95","-1,05","45,37","0,65","1,15","2,42","3,24"
2025-06-04,13-14,"0,01","5,51","5,51","9,69","9,69","9,69","9,69","9,69","9,69","9,69","9,69","0,01","37,56","37,52","5,99","-0,09","37,42","0,01","0,04","2,89","5,57"
2025-06-04,14-15,"0,01","17,72","17,72","18,26","14,06","1,72","18,26","16,00","17,72","18,26","18,26","0,01","40,67","40,73","6,99","0,10","40,56","0,01","-0,01","9,15","17,77"
2025-06-04,15-16,"0,00","39,09","39,09","43,35","28,41","0,09","43,35","34,61","46,86","34,61","43,35","0,00","39,11","53,40","14,39","-0,01","39,42","0,00","0,00","20,08","39,09"
2025-06-04,16-17,"3,09","49,17","49,17","64,02","39,55","0,00","72,40","46,91","78,34","46,91","72,40","0,01","47,49","54,27","13,52","1,08","48,05","0,03","0,15","25,22","49,00"
2025-06-04,17-18,"65,50","65,50","65,50","80,76","69,04","6,20","91,45","73,10","102,72","73,10","91,46","0,00","64,20","66,25","18,55","3,86","48,98","-0,02","0,68","36,81","72,29"
2025-06-04,18-19,"99,90","99,90","99,90","91,38","86,37","15,49","108,91","95,00","122,76","95,00","108,92","0,00","79,95","82,82","26,05","4,25","49,26","-0,01","0,95","46,25","91,16"
2025-06-04,19-20,"107,43","107,43","107,43","86,05","86,70","39,15","145,98","108,00","161,47","108,00","145,98","0,00","86,04","89,18","20,91","3,37","49,07","0,08","0,52","52,56","107,14"
2025-06-04,20-21,"121,64","121,64","121,64","91,99","104,60","32,77","192,85","137,57","223,09","137,57","192,85","-0,02","83,47","95,85","22,42","1,37","49,25","0,05","0,96","60,32","120,41"
2025-06-04,21-22,"90,84","90,84","90,84","89,02","107,90","23,82","138,82","136,00","151,20","138,82","138,82","-0,21","78,94","81,72","26,12","5,59","49,13","-0,04","0,70","44,67","89,70"
2025-06-04,22-23,"75,23","75,23","75,23","87,67","110,40","55,92","112,43","117,89","117,80","112,43","112,44","-1,01","65,43","77,94","20,96","4,29","48,74","-0,03","-0,26","36,67","74,31"
2025-06-04,23-00,"54,59","54,59","54,59","76,70","99,64","53,22","94,08","100,52","97,07","94,08","94,08","-2,07","47,28","73,02","15,30","2,41","48,67","-0,89","-1,54","25,95","53,90"
